Date, Odometer [km], Battery Energy Out (Operating) [kJ], Battery Energy In (Charging)[kJ], Hours Charging [h], Hours Operating [h], Hours Running [h],,,,,,
2015-04-29,2.341927083,0.765857501,0,0,0.161666667,0.103888889,,,,,,
,,,,,,,,,,,,
Time Stamp, Battery Current [A], Battery Voltage [V], Battery Power Out (Operating) [kW], Battery Power In (Charging)[kW], Motor Current [AC A rms], Motor Voltage [AC V rms], Vehicle Speed [km/h], Motor Velocity [RPM], SOC [%], Charging, Operating, Running
11:10:47,0.8,315.95,0.25276,0,0,0,0,0,43,0,1,0
11:10:48,0.9,315.97,0.284373,0,0,0,0,0,43,0,1,0
11:10:49,0.8,315.98,0.252784,0,0,0,0,0,43,0,1,0
11:10:50,0.8,316.01,0.252808,0,0,0,0,0,43,0,1,0
11:10:51,0.8,316.02,0.252816,0,0,0,0,0,43,0,1,0
11:10:52,0.8,316.05,0.25284,0,0,0,0,0,43,0,1,0
11:10:53,0.8,316.07,0.252856,0,0,0,0,0,43,0,1,0
11:10:54,0.8,316.09,0.252872,0,0,0,0,0,43,0,1,0
11:10:55,0.8,316.11,0.252888,0,0,0,0,0,43,0,1,0
11:10:56,0.8,316.13,0.252904,0,0,0,0,0,43,0,1,0
11:10:57,0.8,316.16,0.252928,0,0,0,0,0,43,0,1,0
11:10:58,0.8,316.17,0.252936,0,0,0,0,0,43,0,1,0
11:10:59,0.8,316.2,0.25296,0,0,0,0,0,43,0,1,0
11:11:00,0.8,316.21,0.252968,0,0,0,0,0,43,0,1,0
11:11:01,0.8,316.23,0.252984,0,0,0,0,0,43,0,1,0
9:48:02,28.9,311.8,9.01102,0,93,291.8125,45.125,2256,43,0,1,1
9:48:03,29.9,311.65,9.318335,0,89,287.6875,45.0625,2251,43,0,1,1
9:48:04,35.4,311.54,11.028516,0,87,284.6875,44.875,2243,43,0,1,1
9:48:05,36.9,311.54,11.495826,0,81,283.3125,44.875,2242,43,0,1,1
9:48:06,32.5,311.86,10.13545,0,84,291.3125,45,2248,43,0,1,1
9:48:07,24.2,312.23,7.555966,0,94,284.625,45.125,2257,43,0,1,1
9:48:08,29.1,311.94,9.077454,0,94,282.75,44.9375,2245,43,0,1,1
9:48:09,29.6,312.05,9.23668,0,96,282,44.9375,2247,43,0,1,1
9:48:10,33.6,311.94,10.481184,0,91,291.8125,44.875,2243,43,0,1,1
9:48:11,35.2,311.67,10.970784,0,91,287.0625,44.75,2238,43,0,1,1
9:48:12,45.1,311.23,14.036473,0,94,292.0625,44.625,2231,43,0,1,1
9:48:13,51.5,310.76,16.00414,0,89,283.75,44.5625,2230,43,0,1,1
11:10:00,53.8,310.64,16.712432,0,98,287.25,44.5625,2229,43,0,1,1
11:10:01,-20.2,315.06,-6.364212,0,105,258.9375,43.9375,2197,43,0,1,1
11:10:02,-36.3,316.55,-11.490765,0,95,239.9375,41.25,2063,43,0,1,1
11:10:03,-2.4,314.7,-0.75528,0,76,247.1875,36.8125,1841,43,0,1,1
