Time Stamp, Battery Amperage, Battery Voltage, Battery Power In,, Motor Current (AC), Motor Voltage (AC), Motor Power,, Motor Controller Battery Current, Motor Controller Capacitor Voltage,MC Power,1.132350068,, Vehicle Speed, Motor Velocity, 
11:36:03,44.5,310.13,13.800785,,76,289.375,21.9925,,50,308.5625,15.428125,1.117916481,,636,1987,
11:36:04,43.2,310.2,13.40064,,68,287.8125,19.57125,,51,308.6875,15.7430625,1.174799301,,636,1987,
11:36:05,44.9,310.28,13.931572,,71,287.1875,20.3903125,,49,308.5625,15.1195625,1.085273256,,636,1986,
11:36:06,43.8,310.18,13.585884,,77,278.1875,21.4204375,,49,308,15.092,1.110858889,,637,1990,
11:36:07,42.2,310.03,13.083266,,68,292.375,19.8815,,50,308.6875,15.434375,1.179703524,,637,1989,
11:36:08,42.7,310.24,13.247248,,69,286.75,19.78575,,46,308.1875,14.176625,1.070156232,,637,1990,
11:36:09,43.6,310.08,13.519488,,74,283.9375,21.011375,,50,308.3125,15.415625,1.140252131,,638,1992,
11:36:10,44.2,310.25,13.71305,,70,290,20.3,,48,308.9375,14.829,1.081378687,,639,1995,
11:36:11,42.9,310.38,13.315302,,79,279.5,22.0805,,47,308.4375,14.4965625,1.088714511,,639,1995,
11:36:12,41.8,310.26,12.968868,,76,294.1875,22.35825,,48,308.5625,14.811,1.142042621,,638,1994,
11:36:13,40.7,310.29,12.628803,,77,288.75,22.23375,,46,309.0625,14.216875,1.125750002,,638,1993,
11:36:14,39.8,310.31,12.350338,,68,288.625,19.6265,,44,307.875,13.5465,1.096852572,,638,1992,
11:36:15,39.4,310.42,12.230548,,68,293,19.924,,45,308.8125,13.8965625,1.136217486,,636,1988,
11:36:16,38.4,310.22,11.912448,,72,289.5,20.844,,47,309.0625,14.5259375,1.219391472,,635,1985,
11:36:17,41.6,310.26,12.906816,,73,283.3125,20.6818125,,45,308.6875,13.8909375,1.076248201,,636,1986,
11:36:18,42.3,310.13,13.118499,,71,285.9375,20.3015625,,49,308,15.092,1.150436494,,636,1987,
11:36:19,43.9,310.19,13.617341,,71,289.375,20.545625,,48,308.4375,14.805,1.08721666,,636,1988,
11:36:20,44.8,310.1,13.89248,,74,286.75,21.2195,,49,308.5625,15.1195625,1.088327102,,637,1991,
11:36:21,43.2,310.31,13.405392,,73,291.875,21.306875,,46,308.8125,14.205375,1.059676211,,639,1997,
11:36:22,37.2,310.4,11.54688,,69,278.625,19.225125,,43,309.1875,13.2950625,1.15139869,,639,1996,
11:36:23,36.5,310.52,11.33398,,66,283.9375,18.739875,,41,308.6875,12.6561875,1.116658711,,639,1996,
11:36:24,34.9,310.57,10.838893,,68,284.125,19.3205,,40,309.3125,12.3725,1.14149111,,637,1991,
11:36:25,36.8,310.63,11.431184,,61,294.5625,17.9683125,,40,309.0625,12.3625,1.081471526,,637,1991,
11:36:26,34.5,310.51,10.712595,,62,288.75,17.9025,,43,308.6875,13.2735625,1.239061357,,636,1986,
11:36:27,40.9,310.4,12.69536,,73,277.625,20.266625,,43,309.1875,13.2950625,1.047237928,,636,1988,
11:36:28,37.1,310.41,11.516211,,75,283.4375,21.2578125,,44,308.5625,13.57675,1.178925082,,635,1985,
11:36:29,43.3,310.32,13.436856,,67,285.75,19.14525,,45,309.1875,13.9134375,1.03546823,,635,1985,
11:36:30,42.5,310.26,13.18605,,72,288.1875,20.7495,,45,308.8125,13.8965625,1.05388365,,636,1988,
11:36:31,39,310.46,12.10794,,66,287.1875,18.954375,,43,308.5625,13.2681875,1.095825343,,638,1994,
11:36:32,33.6,310.68,10.438848,,68,289.9375,19.71575,,40,308.1875,12.3275,1.180925328,,639,1996,
