Date, Odometer, Battery Energy, Hours Charging, Hours Running, Hours On,,,,,,,,,
,0.789622222,134.2741222,0.268055556,0.154722222,0.079762233,,,,,,,,,
,,,,,,,,,,,,,,
Time Stamp, Battery Current, Battery Voltage, Battery Power In, Battery Power Out, Motor Current (AC), Motor Voltage (AC), Motor Controller Battery Current, Motor Controller Capacitor Voltage, Vehicle Speed, Motor Velocity (RPM), SOC, Time Charging, Time Operating, Vehicle Run Hours 
13:57:02,0,0,0,0,10,0,0,309.9375,0,0,0,0,0,1
13:57:03,-2.8,312.17,874.076,0,6,1690,4092,310.5,12.15,647,61,1,0,1
13:57:04,-5.3,312.4,1655.72,0,19,1357,4090,310.625,10.6,521,61,1,0,1
13:57:05,-3.7,312.47,1156.139,0,21,988,4090,310.625,7.15,399,61,1,0,1
13:57:06,16.5,311.48,0,5139.42,14,1162,3,310.125,7.4,364,61,1,0,1
13:57:07,65.7,305.5,0,20071.35,185,1816,96,302.9375,9.7,473,61,1,0,1
13:57:08,18.3,309.44,0,5662.752,56,1733,27,308.125,10.13,543,61,1,0,1
13:57:09,6.2,311.23,0,1929.626,37,1737,4,309.0625,11.4,565,61,1,0,1
13:57:10,50.3,308.06,0,15495.418,99,2046,47,305.8125,11.15,598,61,1,0,1
13:57:11,54.6,305.86,0,16699.956,108,2565,81,303.875,15.12,787,61,1,0,1
13:57:12,-1.8,311.73,561.114,0,0,2174,4090,309.3125,15.15,798,61,1,0,1
13:57:13,-3.3,311.97,1029.501,0,8,2014,4092,310.625,14.14,745,61,1,0,1
13:57:14,-10.5,312.74,3283.77,0,27,1652,4085,311.375,12.11,636,61,1,0,1
13:57:15,-1.9,312.3,593.37,0,9,1107,4092,311.375,8.11,436,61,1,0,1
13:57:16,0.6,312.05,0,187.23,0,135,4095,310.125,4,201,61,1,0,1
13:57:17,0.7,312.1,0,218.47,0,155,0,310.375,0.9,29,61,1,0,1
13:57:18,0.6,312.14,0,187.284,0,0,0,309.9375,0,0,61,1,0,1
13:57:19,0.6,312.21,0,187.326,0,0,0,310.625,0,0,61,1,0,1
13:57:20,0.5,312.26,0,156.13,0,0,0,310.5,0,0,61,1,0,1
13:57:21,0.5,312.29,0,156.145,0,0,0,310.625,0,0,61,1,0,1
13:57:22,1,312.32,0,312.32,8,77,0,310.25,0,3,61,1,0,1
13:57:23,1.1,312.13,0,343.343,31,369,6,310.75,1.1,84,61,1,0,1
13:57:24,0.8,312.37,0,249.896,0,77,4095,311.25,0.13,41,61,1,0,1
13:57:25,14.3,311.6,0,4455.88,159,483,10,308.8125,1.1,56,61,1,0,1
13:57:26,84.7,305.29,0,25858.063,207,1972,93,303.5,9.2,457,61,1,0,1
13:57:27,52.3,306.5,0,16029.95,97,2609,73,304.75,15.8,775,61,1,0,1
13:57:28,58.6,306.74,0,17974.964,86,2839,62,304.9375,17.1,883,61,1,0,1
13:57:29,6.4,310.39,0,1986.496,12,2814,14,308.3125,19.5,966,61,1,0,1
13:57:30,-20.4,313.16,6388.464,0,32,2395,4077,311.8125,18.3,909,61,1,0,1
13:57:31,6.6,311.44,0,2055.504,11,2576,6,309.9375,17.6,868,61,1,0,1
13:57:32,0.3,311.8,0,93.54,0,2214,4,310.75,16.6,820,61,1,0,1
13:57:33,0.1,312.08,0,31.208,0,1533,4095,310.375,11.7,572,61,1,0,1
13:57:34,0.6,312.1,0,187.26,0,1282,4095,311,9.5,466,61,1,0,1
13:57:35,-2.5,312.42,781.05,0,13,1030,4093,310.875,7.15,398,61,1,0,1
13:57:36,0.6,312.45,0,187.47,8,816,4093,310.875,6.8,326,61,1,0,1
13:57:37,8.2,311.66,0,2555.612,29,1085,9,309.8125,6.1,332,61,1,0,1
13:57:38,8.7,311.67,0,2711.529,30,1105,8,310.25,6.13,342,61,1,0,1
13:57:39,11.6,311.36,0,3611.776,41,1143,12,310,6.15,349,61,1,0,1
13:57:40,7.8,311.47,0,2429.466,33,1163,11,310.5,7.1,353,61,1,0,1
13:57:41,6.2,311.73,0,1932.726,23,1144,7,310,7,351,61,1,0,1
13:57:42,8.8,311.62,0,2742.256,31,1104,8,310,6.12,339,61,1,0,1
13:57:43,11.4,311.41,0,3550.074,39,1162,12,309.9375,7,352,61,1,0,1
13:57:44,11.4,311.39,0,3549.846,37,1161,12,309.8125,7.1,355,61,1,0,1
13:57:45,11.6,311.39,0,3612.124,38,1179,12,309.0625,7.1,354,61,1,0,1
