Date, Odometer [km], Battery Energy Out (Operating) [kWh], Battery Energy In (Charging)[kWh], Hours Charging [h], Hours Operating [h], Hours Running [h]
2015-05-04,0003.64526041666,0004.68168379247,00000000000000.0,00000000000000.0,0001.37388888888,000.249722222221                                                                                                                                                                                                   

Time Stamp, SOC [%], Battery Current [A], Battery Voltage [V], Battery Power Out (Operating) [kW], Battery Power In (Charging)[kW], Motor Current [AC A rms], Motor Voltage [AC V rms], Motor Controller Capacitor Voltage [V], Vehicle Speed [km/h], Motor Velocity [RPM], Current Highest Priority Fault, Traction State, Maximum Battery Discharge Current [A], Maximum Battery Charge Current [A], Motor Temperature [Celcius], Motor Controller Heatsink Temperature [Celcius], Battery Pack Highest Temperature [Celcius], Batt High Temp ID, Batter Pack Lowest Temperature [Celcius], Batt Low Temp ID, Charging, Operating, Running
09:04:01,99,0.7,318.32,0.222824,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,
09:04:02,99,0.7,318.31,0.222817,0,0,0.0,315.8125,0.0,0,17737,0,250,-100,24,22,18,1,18,1,0,1,0,
09:04:03,99,0.7,318.32,0.222824,0,0,0.0,316.6875,0.0,0,17737,0,250,-100,24,22,18,1,18,1,0,1,0,
09:04:04,99,0.7,318.31,0.222817,0,0,0.0,316.1875,0.0,0,17737,0,250,-100,24,22,18,1,18,1,0,1,0,
09:04:05,99,0.7,318.32,0.222824,0,0,0.0,316.5625,0.0,0,17737,0,250,-100,23,22,18,1,18,1,0,1,0,
09:04:06,99,0.7,318.31,0.222817,0,0,0.0,317.25,0.0,0,17737,0,250,-100,25,22,18,1,18,1,0,1,0,
09:04:07,99,0.7,318.31,0.222817,0,0,0.0,316.0625,0.0,0,17737,0,250,-100,25,22,18,1,18,1,0,1,0,
09:04:08,99,0.7,318.31,0.222817,0,0,0.0,316.8125,0.0,0,17737,0,250,-100,23,22,18,1,18,1,0,1,0,
09:04:09,99,0.7,318.32,0.222824,0,0,0.0,316.6875,0.0,0,17737,0,250,-100,24,22,18,1,18,1,0,1,0,
09:04:10,99,0.7,318.31,0.222817,0,0,0.0,315.9375,0.0,0,17737,0,250,-100,25,22,18,1,18,1,0,1,0,
09:04:11,99,0.7,318.32,0.222824,0,0,0.0,316.5625,0.0,0,17737,0,250,-100,24,22,18,1,18,1,0,1,0,
09:04:12,99,0.7,318.32,0.222824,0,0,0.0,317.25,0.0,0,17737,0,250,-100,24,22,18,1,18,1,0,1,0,
09:04:13,99,0.7,318.32,0.222824,0,0,0.0,316.5625,0.0,0,17737,0,250,-100,24,22,18,1,18,1,0,1,0,
09:04:14,99,0.7,318.32,0.222824,0,0,0.0,317.0625,0.0,0,17737,0,250,-100,23,22,18,1,18,1,0,1,0,
09:04:15,99,0.7,318.32,0.222824,0,0,0.0,316.4375,0.0,0,17737,0,250,-100,23,22,18,1,18,1,0,1,0,
09:04:16,99,0.7,318.31,0.222817,0,0,0.0,317.125,0.0,0,17737,0,250,-100,23,22,18,1,18,1,0,1,0,
09:04:17,99,0.7,318.32,0.222824,0,0,0.0,317.0625,0.0,0,17737,0,250,-100,23,22,18,1,18,1,0,1,0,
09:04:18,99,0.7,318.31,0.222817,0,0,0.0,317.125,0.0,0,17737,0,250,-100,23,22,18,1,18,1,0,1,0,
09:04:19,99,0.7,318.32,0.222824,0,0,0.0,316.4375,0.0,0,17737,0,250,-100,24,22,18,1,18,1,0,1,0,
09:04:20,99,0.7,318.31,0.222817,0,0,0.0,316.0625,0.0,0,17737,0,250,-100,25,22,18,1,18,1,0,1,0,
09:04:21,99,0.7,318.32,0.222824,0,0,0.0,316.4375,0.0,0,17737,0,250,-100,26,22,18,1,18,1,0,1,0,
09:04:22,99,0.7,318.32,0.222824,0,0,0.0,316.5625,0.0,0,17737,0,250,-100,26,22,18,1,18,1,0,1,0,
09:04:23,99,0.7,318.31,0.222817,0,0,0.0,316.8125,0.0,0,17737,0,250,-100,28,22,18,1,18,1,0,1,0,
09:04:24,99,0.7,318.32,0.222824,0,0,0.0,317.125,0.0,0,17737,0,250,-100,26,22,18,1,18,1,0,1,0,
09:04:25,99,0.7,318.32,0.222824,0,0,0.0,316.3125,0.0,0,17737,0,250,-100,25,22,18,1,18,1,0,1,0,
09:04:26,99,0.7,318.32,0.222824,0,0,0.0,316.8125,0.0,0,17737,0,250,-100,24,22,18,1,18,1,0,1,0,
09:04:27,99,0.7,318.31,0.222817,0,0,0.0,316.3125,0.0,0,17737,0,250,-100,24,22,18,1,18,1,0,1,0,
09:04:28,99,0.7,318.31,0.222817,0,0,0.0,316.6875,0.0,0,17737,0,250,-100,24,22,18,1,18,1,0,1,0,
09:04:29,99,0.7,318.32,0.222824,0,0,0.0,316.6875,0.0,0,17737,0,250,-100,25,22,18,1,18,1,0,1,0,
09:04:30,99,0.7,318.32,0.222824,0,0,0.0,316.8125,0.0,0,17737,0,250,-100,25,22,18,1,18,1,0,1,0,
09:04:31,99,0.7,318.32,0.222824,0,0,0.0,316.6875,0.0,0,17737,0,250,-100,26,22,18,1,18,1,0,1,0,
