Date, Odometer [km], Battery Energy Out (Operating) [kJ], Battery Energy In (Charging)[kJ], Hours Charging [h], Hours Operating [h], Hours Running [h]
2015-04-30,0001.14670138889,000.806704508611,00000000000000.0,00000000000000.0,000.523611111111,000.104444444444                                                                                                                                                                                                     

Time Stamp, Battery Current [A], Battery Voltage [V], Battery Power Out (Operating) [kW], Battery Power In (Charging)[kW], Motor Current [AC A rms], Motor Voltage [AC V rms], Vehicle Speed [km/h], Motor Velocity [RPM], SOC [%], Charging, Operating, Running
10:54:42,0,0,0,0,0,0,0,0,0,0,0,0,
10:54:43,0,0,0,0,0,0.0,0.0,0,0,0,0,0,
10:54:44,0.9,315.58,0.284022,0,0,0.0,0.0,0,47,0,1,0,
10:54:45,0.8,315.57,0.252456,0,0,0.0,0.0,0,47,0,1,0,
10:54:46,0.7,315.57,0.220899,0,0,0.0,0.0,0,47,0,1,0,
10:54:47,0.7,315.57,0.220899,0,0,0.0,0.0,0,47,0,1,0,
10:54:48,0.8,315.55,0.25244,0,0,0.0,0.0,0,47,0,1,0,
10:54:49,0.8,315.55,0.25244,0,0,0.0,0.0,0,47,0,1,0,
10:54:50,0.8,315.54,0.252432,0,0,0.0,0.0,0,47,0,1,0,
10:54:51,0.8,315.54,0.252432,0,0,0.0,0.0,0,47,0,1,0,
10:54:52,0.8,315.53,0.252424,0,0,0.0,0.0,0,47,0,1,0,
10:54:53,0.9,315.54,0.283986,0,0,0.0,0.0,0,47,0,1,0,
10:54:54,0.8,315.54,0.252432,0,0,0.0,0.0,0,47,0,1,0,
10:54:55,0.8,315.53,0.252424,0,0,0.0,0.0,0,47,0,1,0,
10:54:56,0.8,315.53,0.252424,0,0,0.0,0.0,0,47,0,1,0,
10:54:57,0.8,315.52,0.252416,0,0,0.0,0.0,0,47,0,1,0,
10:54:58,0.8,315.53,0.252424,0,0,0.0,0.0,0,47,0,1,0,
10:54:59,0.8,315.52,0.252416,0,0,0.0,0.0,0,47,0,1,0,
10:55:00,0.9,315.51,0.283959,0,0,0.0,0.0,0,47,0,1,0,
10:55:01,0.9,315.51,0.283959,0,0,0.0,0.0,0,47,0,1,0,
10:55:01,0,0,0,0,0,0,0,0,0,0,0,0,
10:55:02,0.8,315.5,0.2524,0,0,0.0,0.0,0,47,0,1,0,
10:55:03,0.9,315.5,0.28395,0,0,0.0,0.0,0,47,0,1,0,
10:55:04,0.9,315.49,0.283941,0,0,0.0,0.0,0,47,0,1,0,
10:55:05,0.9,315.48,0.283932,0,0,0.0,0.0,0,47,0,1,0,
10:55:06,0.9,315.49,0.283941,0,0,0.0,0.0,0,47,0,1,0,
10:55:07,0.8,315.48,0.252384,0,0,0.0,0.0,0,47,0,1,0,
10:55:08,0.8,315.48,0.252384,0,0,0.0,0.0,0,47,0,1,0,
10:55:09,0.8,315.48,0.252384,0,0,0.0,0.0,0,47,0,1,0,
10:55:10,0.8,315.47,0.252376,0,0,0.0,0.0,0,47,0,1,0,
10:55:11,0.8,315.47,0.252376,0,0,0.0,0.0,0,47,0,1,0,
10:55:12,0.9,315.46,0.283914,0,0,0.0,0.0,0,47,0,1,0,
10:55:13,0.8,315.46,0.252368,0,0,0.0,0.0,0,47,0,1,0,
10:55:14,0.8,315.46,0.252368,0,0,0.0,0.0,0,47,0,1,0,
10:55:15,0.8,315.46,0.252368,0,0,0.0,0.0,0,47,0,1,0,
10:55:16,0.8,315.47,0.252376,0,0,0.0,0.0,0,47,0,1,0,
10:55:17,0.8,315.45,0.25236,0,0,0.0,0.0,0,47,0,1,0,
10:55:18,0.8,315.45,0.25236,0,0,0.0,0.0,0,47,0,1,0,
10:55:19,0.9,315.45,0.283905,0,0,0.0,0.0,0,47,0,1,0,
10:55:20,0.9,315.45,0.283905,0,0,0.0,0.0,0,47,0,1,0,
10:55:21,0.8,315.44,0.252352,0,0,0.0,0.0,0,47,0,1,0,
