Date, Odometer [km], Battery Energy Out (Operating) [kWh], Battery Energy In (Charging)[kWh], Hours Charging [h], Hours Operating [h], Hours Running [h]
2015-05-02,00051.6723090284,000018.680624504,00000000000000.0,00000000000000.0,0002.09666666668,0001.85500000012                                                                                                                                                                                                   

Time Stamp, SOC [%], Battery Current [A], Battery Voltage [V], Battery Power Out (Operating) [kW], Battery Power In (Charging)[kW], Motor Current [AC A rms], Motor Voltage [AC V rms], Motor Controller Capacitor Voltage [V], Vehicle Speed [km/h], Motor Velocity [RPM], Current Highest Priority Fault, Traction State, Maximum Battery Discharge Current [A], Maximum Battery Charge Current [A], Motor Temperature [Celcius], Motor Controller Heatsink Temperature [Celcius], Battery Pack Highest Temperature [Celcius], Batt High Temp ID, Batter Pack Lowest Temperature [Celcius], Batt Low Temp ID, Charging, Operating, Running
14:24:01,72,14.1,313.34,4.418094,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,
14:24:02,72,14.5,313.36,4.54372,0,16,210.375,311.625,23.0625,1152,0,2,250,-100,43,43,23,2,22,1,0,1,1,
14:24:03,72,11.9,313.42,3.729698,0,12,208.0625,311.75,23.0625,1153,0,2,250,-100,43,43,23,2,22,1,0,1,1,
14:24:04,72,10.1,313.49,3.166249,0,12,211.9375,311.625,23.0,1151,0,2,250,-100,43,43,23,2,22,1,0,1,1,
14:24:05,72,12.2,313.51,3.824822,0,13,208.0625,311.75,23.0,1150,0,2,250,-100,44,43,23,2,22,1,0,1,1,
14:24:06,72,13.2,313.44,4.137408,0,12,207.9375,312.0,22.9375,1147,0,2,250,-100,43,43,23,2,22,1,0,1,1,
14:24:07,72,14.7,313.38,4.606686,0,15,206.875,311.4375,22.8125,1142,0,2,250,-100,44,43,23,2,22,1,0,1,1,
14:24:08,72,16.0,313.28,5.01248,0,16,207.0,312.0,22.75,1139,0,2,250,-100,44,43,23,2,22,1,0,1,1,
14:24:09,72,17.1,313.18,5.355378,0,19,206.6875,311.625,22.75,1139,0,2,250,-100,43,43,23,2,22,1,0,1,1,
14:24:10,72,18.4,313.14,5.761776,0,21,205.25,311.5625,22.8125,1139,0,2,250,-100,42,43,23,2,22,1,0,1,1,
14:24:11,72,18.8,313.1,5.88628,0,20,208.1875,311.5625,22.8125,1142,0,2,250,-100,43,43,23,2,22,1,0,1,1,
14:24:12,72,19.4,313.09,6.073946,0,19,209.1875,311.4375,22.875,1143,0,2,250,-100,43,43,23,2,22,1,0,1,1,
14:24:13,71,18.3,313.04,5.728632,0,19,210.625,311.625,22.8125,1143,0,2,250,-100,43,43,23,2,22,1,0,1,1,
14:24:14,71,18.1,313.1,5.66711,0,20,210.125,311.3125,22.9375,1147,0,2,250,-100,43,43,23,2,22,1,0,1,1,
14:24:15,71,20.9,312.99,6.541491,0,24,211.25,310.8125,22.875,1143,0,2,250,-100,41,43,23,2,22,1,0,1,1,
14:24:16,71,19.4,312.97,6.071618,0,19,211.375,310.4375,22.9375,1147,0,2,250,-100,43,43,23,2,22,1,0,1,1,
14:24:17,71,19.3,313.01,6.041093,0,20,209.125,311.5625,23.0,1150,0,2,250,-100,43,43,23,2,22,1,0,1,1,
14:24:18,71,16.8,313.06,5.259408,0,19,212.875,311.5625,23.0,1151,0,2,250,-100,43,43,23,2,22,1,0,1,1,
14:24:19,71,19.4,313.05,6.07317,0,20,207.9375,311.3125,22.9375,1147,0,2,250,-100,44,43,23,2,22,1,0,1,1,
