Date, Odometer [km], Battery Energy Out (Operating) [kWh], Battery Energy In (Charging)[kWh], Hours Charging [h], Hours Operating [h], Hours Running [h]
2015-05-02,00011.8518402778,0004.27845053611,0.00796449694444,000000000000.035,000.451666666669,000.366388888892                                                                                                                                                                                                   

Time Stamp, SOC [%], Battery Current [A], Battery Voltage [V], Battery Power Out (Operating) [kW], Battery Power In (Charging)[kW], Motor Current [AC A rms], Motor Voltage [AC V rms], Motor Controller Capacitor Voltage [V], Vehicle Speed [km/h], Motor Velocity [RPM], Current Highest Priority Fault, Traction State, Maximum Battery Discharge Current [A], Maximum Battery Charge Current [A], Motor Temperature [Celcius], Motor Controller Heatsink Temperature [Celcius], Battery Pack Highest Temperature [Celcius], Batt High Temp ID, Batter Pack Lowest Temperature [Celcius], Batt Low Temp ID, Charging, Operating, Running
13:40:02,0,0,0,0,0,0,0,328.75,0,0,17737,0,0,0,0,31,0,0,0,0,0,0,0,
13:40:03,99,0.7,330.19,0,0.23114,0,0.0,328.0625,0.0,0,17737,0,0,250,29,31,0,0,0,0,1,1,0,
13:40:04,99,0.7,329.95,0,0.230965,0,0.0,328.5,0.0,0,17737,0,0,250,30,31,0,0,0,0,1,1,0,
13:40:05,99,0.7,329.71,0,0.230797,0,0.0,327.6875,0.0,0,17737,0,0,250,31,31,0,0,0,0,1,1,0,
13:40:06,99,0.7,329.5,0,0.230671,0,0.0,327.6875,0.0,0,17737,0,0,250,31,31,0,0,0,0,1,1,0,
13:40:07,99,0.7,329.29,0,0.230503,0,0.0,327.1875,0.0,0,17737,0,0,250,33,31,0,0,0,0,1,1,0,
13:40:08,99,0.7,329.1,0,0.23037,0,0.0,327.3125,0.0,0,17737,0,0,250,34,31,0,0,0,0,1,1,0,
13:40:09,99,0.7,328.93,0,0.230251,0,0.0,327.3125,0.0,0,17737,0,0,250,33,31,0,0,0,0,1,1,0,
13:40:10,99,0.7,328.75,0,0.230125,0,0.0,326.375,0.0,0,17737,0,0,250,32,31,0,0,0,0,1,1,0,
13:40:11,99,0.7,328.58,0,0.230006,0,0.0,326.75,0.0,0,17737,0,0,250,32,30,0,0,0,0,1,1,0,
13:40:12,99,0.7,328.45,0,0.229915,0,0.0,326.75,0.0,0,17737,0,0,250,33,30,0,0,0,0,1,1,0,
13:40:13,99,0.7,328.3,0,0.22981,0,0.0,326.5,0.0,0,17737,0,0,250,34,30,0,0,0,0,1,1,0,
13:40:14,99,0.7,328.15,0,0.229705,0,0.0,326.125,0.0,0,17737,0,0,250,31,30,0,0,0,0,1,1,0,
13:40:15,99,0.7,328.02,0,0.229614,0,0.0,325.75,0.0,0,17737,0,0,250,31,31,0,0,0,0,1,1,0,
13:40:16,99,0.7,327.88,0,0.229516,0,0.0,326.5,0.0,0,17737,0,0,250,31,30,0,0,0,0,1,1,0,
13:40:17,99,0.7,327.74,0,0.229418,0,0.0,326.25,0.0,0,17737,0,0,250,30,30,0,0,0,0,1,1,0,
13:40:18,99,0.7,327.63,0,0.229341,0,0.0,325.875,0.0,0,17737,0,0,250,30,30,0,0,0,0,1,1,0,
