Date, Odometer [km], Battery Energy Out (Operating) [kWh], Battery Energy In (Charging)[kWh], Hours Charging [h], Hours Operating [h], Hours Running [h]
2015-05-02,000.765642361111,000.219510995834,00000000000000.0,00000000000000.0,00.0336111111111,00.0333333333333                                                                                                                                                                                                   

Time Stamp, SOC [%], Battery Current [A], Battery Voltage [V], Battery Power Out (Operating) [kW], Battery Power In (Charging)[kW], Motor Current [AC A rms], Motor Voltage [AC V rms], Motor Controller Capacitor Voltage [V], Vehicle Speed [km/h], Motor Velocity [RPM], Current Highest Priority Fault, Traction State, Maximum Battery Discharge Current [A], Maximum Battery Charge Current [A], Motor Temperature [Celcius], Motor Controller Heatsink Temperature [Celcius], Battery Pack Highest Temperature [Celcius], Batt High Temp ID, Batter Pack Lowest Temperature [Celcius], Batt Low Temp ID, Charging, Operating, Running
14:22:01,72,32.2,311.77,10.038994,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,
14:22:02,72,32.3,311.73,10.068879,0,41,211.3125,310.1875,22.8125,1138,0,2,250,-100,38,43,5911,2,22,1,0,1,1,
14:22:03,72,33.6,311.68,10.472448,0,38,214.9375,310.125,22.8125,1142,0,2,250,-100,39,43,5911,2,22,1,0,1,1,
14:22:04,72,33.5,311.69,10.441615,0,37,212.125,310.0,22.9375,1146,0,2,250,-100,41,43,5911,2,22,1,0,1,1,
14:22:05,72,33.8,311.56,10.530728,0,40,215.25,309.375,22.875,1145,0,2,250,-100,43,44,5911,2,22,1,0,1,1,
14:22:06,72,32.2,311.76,10.038672,0,35,214.3125,309.875,23.0625,1153,0,2,250,-100,42,44,5911,2,22,1,0,1,1,
14:22:07,72,30.1,311.84,9.386384,0,34,210.875,310.0,23.0625,1155,0,2,250,-100,42,44,5911,2,22,1,0,1,1,
14:22:08,72,27.0,311.96,8.42292,0,33,211.8125,310.1875,23.125,1158,0,2,250,-100,42,44,5911,2,22,1,0,1,1,
14:22:09,72,25.4,312.15,7.92861,0,29,212.6875,310.3125,23.1875,1161,0,2,250,-100,43,44,5911,2,22,1,0,1,1,
14:22:10,72,24.1,312.23,7.524743,0,24,211.875,310.3125,23.1875,1161,0,2,250,-100,42,43,5911,2,22,1,0,1,1,
14:22:11,72,22.8,312.36,7.121808,0,25,209.5625,310.4375,23.1875,1160,0,2,250,-100,42,43,5911,2,22,1,0,1,1,
