Date, Odometer [km], Battery Energy Out (Operating) [kWh], Battery Energy In (Charging)[kWh], Hours Charging [h], Hours Operating [h], Hours Running [h],,,,,,,,,,,,,,,,,
2015-05-22,0.148454861,0.089419666,0,0,0.166666667,0.020277778,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
Time Stamp, SOC [%], Battery Current [A], Battery Voltage [V], Battery Power Out (Operating) [kW], Battery Power In (Charging)[kW], Motor Current [AC A rms], Motor Voltage [AC V rms], Motor Controller Capacitor Voltage [V], Vehicle Speed [km/h], Motor Velocity [RPM], Current Highest Priority Fault, Traction State, Maximum Battery Discharge Current [A], Maximum Battery Charge Current [A], Motor Temperature [Celcius], Motor Controller Heatsink Temperature [Celcius], Battery Pack Highest Temperature [Celcius], Batt High Temp ID, Batter Pack Lowest Temperature [Celcius], Batt Low Temp ID, Charging, Operating, Running
13:28:19,48,1,314.42,0.31442,0,0,0,311.625,0,0,0,0,250,-100,31,33,0,0,0,0,0,1,0
13:28:20,48,1,314.43,0.31443,0,0,0,311.625,0,0,0,0,250,-100,32,33,0,0,0,0,0,1,0
13:28:21,48,1,314.43,0.31443,0,0,0,312.625,0,0,0,0,250,-100,33,33,0,0,0,0,0,1,0
13:28:22,48,1,314.44,0.31444,0,0,0,312.125,0,0,0,0,250,-100,35,33,0,0,0,0,0,1,0
13:28:23,48,1,314.44,0.31444,0,0,0,311.875,0,0,0,0,250,-100,34,33,0,0,0,0,0,1,0
13:28:24,48,1,314.44,0.31444,0,0,0,312,0,0,0,0,250,-100,33,33,0,0,0,0,0,1,0
13:28:25,48,1,314.44,0.31444,0,0,0,312.375,0,0,0,0,250,-100,32,33,0,0,0,0,0,1,0
13:28:26,48,1,314.44,0.31444,0,0,0,311.625,0,0,0,0,250,-100,32,33,0,0,0,0,0,1,0
13:28:27,48,1,314.45,0.31445,0,0,0,312.125,0,0,0,0,250,-100,34,33,0,0,0,0,0,1,0
13:28:28,48,1,314.45,0.31445,0,0,0,312.625,0,0,0,0,250,-100,32,33,0,0,0,0,0,1,0
13:28:29,48,1,314.45,0.31445,0,0,0,311.875,0,0,0,0,250,-100,34,33,0,0,0,0,0,1,0
13:28:30,48,1,314.44,0.31444,0,0,0,311.4375,0,0,0,0,250,-100,33,33,0,0,0,0,0,1,0
13:28:31,48,1,314.45,0.31445,0,0,0,311.625,0,0,0,0,250,-100,34,33,0,0,0,0,0,1,0
13:28:32,48,1,314.46,0.31446,0,0,0,312,0,0,0,0,250,-100,33,33,0,0,0,0,0,1,0
13:28:33,48,1,314.46,0.31446,0,0,0,312.25,0,0,0,0,250,-100,35,33,0,0,0,0,0,1,0
13:28:34,48,2.3,314.38,0.723074,0,4,0,312.375,0,0,0,2,250,-100,34,33,0,0,0,0,0,1,0
13:28:35,48,8.5,314.07,2.669595,0,59,0,311.875,1.4375,73,0,2,250,-100,33,33,0,0,0,0,0,1,1
13:28:36,48,10.6,313.87,3.327022,0,53,0,311.625,3.5625,180,0,2,250,-100,33,34,0,0,0,0,0,1,1
