Date, Odometer [km], Battery Energy Out (Operating) [kWh], Battery Energy In (Charging)[kWh], Hours Charging [h], Hours Operating [h], Hours Running [h]
2015-05-25,00000000000000.0,00.0605392491667,00000000000000.0,00000000000000.0,000.200277777777,00000000000000.0

Time Stamp, SOC [%], Battery Current [A], Battery Voltage [V], Battery Power Out (Operating) [kW], Battery Power In (Charging)[kW], Motor Current [AC A rms], Motor Voltage [AC V rms], Motor Controller Capacitor Voltage [V], Vehicle Speed [km/h], Motor Velocity [RPM], Current Highest Priority Fault, Traction State, Maximum Battery Discharge Current [A], Maximum Battery Charge Current [A], Motor Temperature [Celcius], Motor Controller Heatsink Temperature [Celcius], Battery Pack Highest Temperature [Celcius], Batt High Temp ID, Batter Pack Lowest Temperature [Celcius], Batt Low Temp ID, Charging, Operating, Running
14:40:00,48,1.0,314.69,0.31469,0,0,0,311.625,0.0,0,17737,0,250,-100,27,31,0,0,0,0,0,1,0,
14:40:01,48,1.0,314.68,0.31468,0,0,0,312.625,0.0,0,17737,0,250,-100,27,31,0,0,0,0,0,1,0,
14:40:02,48,1.0,314.69,0.31469,0,0,0,312.25,0.0,0,17737,0,250,-100,24,31,0,0,0,0,0,1,0,
14:40:03,48,1.0,314.69,0.31469,0,0,0,312.625,0.0,0,17737,0,250,-100,27,31,0,0,0,0,0,1,0,
14:40:04,48,1.0,314.69,0.31469,0,0,0,312.5,0.0,0,17737,0,250,-100,28,31,0,0,0,0,0,1,0,
14:40:05,48,1.0,314.7,0.3147,0,0,0,311.875,0.0,0,17737,0,250,-100,32,31,0,0,0,0,0,1,0,
14:40:06,48,1.0,314.7,0.3147,0,0,0,311.625,0.0,0,17737,0,250,-100,30,31,0,0,0,0,0,1,0,
14:40:07,48,1.0,314.7,0.3147,0,0,0,313.1875,0.0,0,17737,0,250,-100,29,31,0,0,0,0,0,1,0,
14:40:08,48,1.0,314.69,0.31469,0,0,0,311.5,0.0,0,17737,0,250,-100,32,31,0,0,0,0,0,1,0,
14:40:09,48,1.0,314.7,0.3147,0,0,0,312.25,0.0,0,17737,0,250,-100,30,31,0,0,0,0,0,1,0,
14:40:10,48,1.0,314.69,0.31469,0,0,0,312.125,0.0,0,17737,0,250,-100,29,31,0,0,0,0,0,1,0,
14:40:11,48,1.0,314.68,0.31468,0,0,0,312.625,0.0,0,17737,0,250,-100,24,31,0,0,0,0,0,1,0,
14:40:12,48,1.0,314.69,0.31469,0,0,0,311.875,0.0,0,17737,0,250,-100,23,31,0,0,0,0,0,1,0,
14:40:13,48,1.0,314.68,0.31468,0,0,0,312.375,0.0,0,17737,0,250,-100,26,31,0,0,0,0,0,1,0,
14:40:14,48,1.0,314.7,0.3147,0,0,0,311.625,0.0,0,17737,0,250,-100,33,31,0,0,0,0,0,1,0,
14:40:15,48,1.0,314.7,0.3147,0,0,0,312.75,0.0,0,17737,0,250,-100,32,31,0,0,0,0,0,1,0,
14:41:01,48,1.0,314.67,0.31467,0,0,0,312.25,0.0,0,17737,0,250,-100,30,31,0,0,0,0,0,1,0,
14:41:02,48,1.0,314.68,0.31468,0,0,0,311.875,0.0,0,17737,0,250,-100,30,31,0,0,0,0,0,1,0,
14:41:03,48,1.0,314.67,0.31467,0,0,0,312.0,0.0,0,17737,0,250,-100,26,31,0,0,0,0,0,1,0,
14:41:04,48,1.0,314.68,0.31468,0,0,0,312.0,0.0,0,17737,0,250,-100,30,31,0,0,0,0,0,1,0,
14:41:05,48,1.0,314.68,0.31468,0,0,0,312.375,0.0,0,17737,0,250,-100,29,31,0,0,0,0,0,1,0,
14:41:06,48,1.0,314.67,0.31467,0,0,0,312.25,0.0,0,17737,0,250,-100,30,31,0,0,0,0,0,1,0,
14:41:07,48,1.0,314.68,0.31468,0,0,0,311.75,0.0,0,17737,0,250,-100,31,31,0,0,0,0,0,1,0,
14:41:08,48,1.0,314.68,0.31468,0,0,0,312.9375,0.0,0,17737,0,250,-100,35,31,0,0,0,0,0,1,0,
14:41:09,48,1.0,314.68,0.31468,0,0,0,311.875,0.0,0,17737,0,250,-100,35,31,0,0,0,0,0,1,0,
14:41:10,48,1.0,314.67,0.31467,0,0,0,312.125,0.0,0,17737,0,250,-100,30,31,0,0,0,0,0,1,0,
14:41:11,48,1.0,314.66,0.31466,0,0,0,313.1875,0.0,0,17737,0,250,-100,27,31,0,0,0,0,0,1,0,
14:41:12,48,1.0,314.67,0.31467,0,0,0,312.125,0.0,0,17737,0,250,-100,25,31,0,0,0,0,0,1,0,
14:41:13,48,1.0,314.67,0.31467,0,0,0,312.125,0.0,0,17737,0,250,-100,25,31,0,0,0,0,0,1,0,
14:41:14,48,1.0,314.67,0.31467,0,0,0,312.5,0.0,0,17737,0,250,-100,25,31,0,0,0,0,0,1,0,
14:41:15,48,1.0,314.67,0.31467,0,0,0,312.8125,0.0,0,17737,0,250,-100,28,31,0,0,0,0,0,1,0,
14:41:16,48,1.0,314.68,0.31468,0,0,0,312.375,0.0,0,17737,0,250,-100,29,31,0,0,0,0,0,1,0,
14:41:17,48,1.0,314.68,0.31468,0,0,0,312.8125,0.0,0,17737,0,250,-100,28,31,0,0,0,0,0,1,0,
14:41:18,48,1.0,314.67,0.31467,0,0,0,312.375,0.0,0,17737,0,250,-100,23,31,0,0,0,0,0,1,0,
14:41:19,48,1.0,314.67,0.31467,0,0,0,312.125,0.0,0,17737,0,250,-100,30,31,0,0,0,0,0,1,0,
14:41:20,48,1.0,314.68,0.31468,0,0,0,312.125,0.0,0,17737,0,250,-100,29,31,0,0,0,0,0,1,0,
14:41:21,48,1.0,314.67,0.31467,0,0,0,311.875,0.0,0,17737,0,250,-100,31,31,0,0,0,0,0,1,0,
14:41:22,48,1.0,314.67,0.31467,0,0,0,312.625,0.0,0,17737,0,250,-100,31,31,0,0,0,0,0,1,0,
14:41:23,48,1.0,314.67,0.31467,0,0,0,312.25,0.0,0,17737,0,250,-100,29,31,0,0,0,0,0,1,0,
14:41:24,48,1.0,314.67,0.31467,0,0,0,312.625,0.0,0,17737,0,250,-100,32,31,0,0,0,0,0,1,0,
14:41:25,48,1.0,314.67,0.31467,0,0,0,312.375,0.0,0,17737,0,250,-100,30,31,0,0,0,0,0,1,0,
14:41:26,48,1.0,314.67,0.31467,0,0,0,312.0,0.0,0,17737,0,250,-100,29,31,0,0,0,0,0,1,0,
14:41:27,48,1.0,314.67,0.31467,0,0,0,312.375,0.0,0,17737,0,250,-100,30,31,0,0,0,0,0,1,0,
14:41:28,48,1.0,314.67,0.31467,0,0,0,312.0,0.0,0,17737,0,250,-100,30,31,0,0,0,0,0,1,0,
14:41:29,48,1.0,314.67,0.31467,0,0,0,312.375,0.0,0,17737,0,250,-100,30,31,0,0,0,0,0,1,0,
14:41:30,48,1.0,314.66,0.31466,0,0,0,312.5,0.0,0,17737,0,250,-100,29,31,0,0,0,0,0,1,0,
14:41:31,48,1.0,314.66,0.31466,0,0,0,311.875,0.0,0,17737,0,250,-100,29,31,0,0,0,0,0,1,0,
14:41:32,48,1.0,314.67,0.31467,0,0,0,312.375,0.0,0,17737,0,250,-100,30,31,0,0,0,0,0,1,0,
14:41:33,48,1.0,314.66,0.31466,0,0,0,312.125,0.0,0,17737,0,250,-100,27,31,0,0,0,0,0,1,0,
14:41:34,48,1.0,314.66,0.31466,0,0,0,312.5,0.0,0,17737,0,250,-100,27,31,0,0,0,0,0,1,0,
14:41:35,48,1.0,314.67,0.31467,0,0,0,312.0,0.0,0,17737,0,250,-100,28,31,0,0,0,0,0,1,0,
14:41:36,48,1.0,314.67,0.31467,0,0,0,312.0,0.0,0,17737,0,250,-100,28,31,0,0,0,0,0,1,0,
14:41:37,48,1.0,314.66,0.31466,0,0,0,311.3125,0.0,0,17737,0,250,-100,28,31,0,0,0,0,0,1,0,
14:41:38,48,1.0,314.67,0.31467,0,0,0,312.375,0.0,0,17737,0,250,-100,31,31,0,0,0,0,0,1,0,
14:41:39,48,1.0,314.66,0.31466,0,0,0,311.875,0.0,0,17737,0,250,-100,31,31,0,0,0,0,0,1,0,
14:41:40,48,1.0,314.66,0.31466,0,0,0,312.5,0.0,0,17737,0,250,-100,29,31,0,0,0,0,0,1,0,
14:41:41,48,1.0,314.67,0.31467,0,0,0,312.125,0.0,0,17737,0,250,-100,22,31,0,0,0,0,0,1,0,
14:41:42,48,1.0,314.66,0.31466,0,0,0,312.625,0.0,0,17737,0,250,-100,27,31,0,0,0,0,0,1,0,
14:41:43,48,1.0,314.66,0.31466,0,0,0,311.875,0.0,0,17737,0,250,-100,28,31,0,0,0,0,0,1,0,
14:41:44,48,1.0,314.66,0.31466,0,0,0,312.5,0.0,0,17737,0,250,-100,25,31,0,0,0,0,0,1,0,
14:41:45,48,1.0,314.66,0.31466,0,0,0,311.625,0.0,0,17737,0,250,-100,26,31,0,0,0,0,0,1,0,
14:41:46,48,1.0,314.66,0.31466,0,0,0,311.625,0.0,0,17737,0,250,-100,27,31,0,0,0,0,0,1,0,
14:41:47,48,1.0,314.66,0.31466,0,0,0,312.0,0.0,0,17737,0,250,-100,25,31,0,0,0,0,0,1,0,
14:41:48,48,1.0,314.66,0.31466,0,0,0,312.8125,0.0,0,17737,0,250,-100,28,31,0,0,0,0,0,1,0,
14:41:49,48,1.0,314.67,0.31467,0,0,0,311.875,0.0,0,17737,0,250,-100,28,31,0,0,0,0,0,1,0,
