Date, Odometer [km], Battery Energy Out (Operating) [kWh], Battery Energy In (Charging)[kWh], Hours Charging [h], Hours Operating [h], Hours Running [h]
2015-05-22,0.148454861,0.089419666,0,0,0.166666667,0.020277778
2015-05-22,0.148454861,0.065872236,0,0,0.083333333,0.020277778
2015-05-25,0,0.060539249,0,0,0.200277778,0
2015-05-02,0.765642361,0.219510996,0,0,0.033611111,0.033333333
2015-05-02,1.980364583,0.75339282,0,0,0.100555556,0.090555556
2015-05-02,11.85184028,4.278450536,0.007964497,0.035,0.451666667,0.366388889
2015-05-02,51.67230903,18.6806245,0,0,2.096666667,1.855
2015-05-01,9.286510417,4.682892843,0,0,1.061666667,0.3225
2015-05-01,-0.056597222,0.079296898,0,0,0.122777778,0.021388889
2015-04-30,1.146701389,0.806704509,0,0,0.523611111,0.104444444
