Date, Odometer [km], Battery Energy Out (Operating) [kJ], Battery Energy In (Charging)[kJ], Hours Charging [h], Hours Operating [h], Hours Running [h],,,,,,
2015-04-29,1.610381944,0.552223613,0,0,0.099166667,0.055555556,,,,,,
,,,,,,,,,,,,
Time Stamp, Battery Current [A], Battery Voltage [V], Battery Power Out (Operating) [kW], Battery Power In (Charging)[kW], Motor Current [AC A rms], Motor Voltage [AC V rms], Vehicle Speed [km/h], Motor Velocity [RPM], SOC [%], Charging, Operating, Running
11:20:02,0,0,0,0,28,0,0,0,0,0,0,0
11:20:03,11.3,315.5,3.56515,0,28,96.8125,9.9375,499,40,0,1,1
11:20:04,11.3,315.51,3.565263,0,29,95.6875,10,500,40,0,1,1
11:20:05,32.9,314.18,10.336522,0,77,109.9375,10.625,533,40,0,1,1
11:20:06,65.9,311.94,20.556846,0,125,145.3125,13.3125,669,40,0,1,1
11:20:07,105.4,309.03,32.571762,0,153,187.25,17.375,876,40,0,1,1
11:20:08,139.7,306.53,42.822241,0,160,237.75,22.3125,1120,40,0,1,1
11:20:09,169.3,304.06,51.477358,0,163,283.125,27.1875,1363,40,0,1,1
11:20:10,-0.9,313.64,-0.282276,0,0,257.3125,30.3125,1507,40,0,1,1
11:20:11,-36,316.65,-11.3994,0,38,226.5625,28.5625,1422,40,0,1,1
11:20:12,-40.3,317.53,-12.796459,0,47,216.1875,25.4375,1270,40,0,1,1
11:20:13,7.2,315.25,2.2698,0,0,203.5625,22.8125,1142,40,0,1,1
11:20:14,58.8,311.83,18.335604,0,66,220.5,22.8125,1144,40,0,1,1
11:20:15,30.9,313.34,9.682206,0,34,219.0625,23.625,1183,40,0,1,1
11:20:16,91.1,309.73,28.216403,0,100,242.5,25.0625,1255,39,0,1,1
11:20:17,154.5,305.09,47.136405,0,141,280.625,28.375,1424,39,0,1,1
11:20:18,200.9,301.89,60.649701,0,179,280.0625,32.875,1649,39,0,1,1
11:20:19,216.6,300.02,64.984332,0,209,261.25,37.4375,1879,39,0,1,1
11:20:20,177.7,301.88,53.644076,0,178,259.125,41.5,2075,39,0,1,1
11:20:21,135.2,303.9,41.08728,0,153,260.75,44.25,2213,39,0,1,1
11:20:22,96.2,306.11,29.447782,0,135,258.5625,45.875,2295,39,0,1,1
11:20:23,69.4,308.03,21.377282,0,128,253.4375,46.8125,2342,39,0,1,1
11:20:24,39.2,310.32,12.164544,0,95,284.5625,47.125,2352,39,0,1,1
11:20:25,20.4,311.47,6.353988,0,97,279.6875,46.6875,2333,39,0,1,1
11:20:26,10.1,312.37,3.154937,0,81,291,46.25,2312,39,0,1,1
11:20:27,12.2,312.42,3.811524,0,94,273.375,45.6875,2287,39,0,1,1
11:20:28,28,311.58,8.72424,0,95,281.5,45.0625,2251,39,0,1,1
11:20:29,45.1,311.03,14.027453,0,88,284.3125,44.625,2228,39,0,1,1
11:20:30,37.9,311.02,11.787658,0,81,291.5625,44.75,2237,39,0,1,1
11:20:31,43,310.81,13.36483,0,85,289.375,44.6875,2235,39,0,1,1
11:20:32,41.3,310.47,12.822411,0,87,285.625,44.8125,2241,39,0,1,1
11:20:33,-34,315.83,-10.73822,0,107,251.6875,43.3125,2162,39,0,1,1
11:20:34,-58.4,317.39,-18.535576,0,94,245.3125,40.5,2026,39,0,1,1
11:20:35,-54.5,317.89,-17.325005,0,86,245.875,37.3125,1866,39,0,1,1
11:20:36,-51.1,318.03,-16.251333,0,76,237.1875,34,1699,39,0,1,1
11:20:37,-44.4,317.78,-14.109432,0,54,233.25,30.6875,1533,39,0,1,1
11:20:38,-39.2,317.74,-12.455408,0,42,223.9375,27.5625,1378,39,0,1,1
11:20:39,-36,317.69,-11.43684,0,46,209.75,24.5625,1227,39,0,1,1
11:20:40,-28.8,317.39,-9.140832,0,40,176.4375,21.375,1069,39,0,1,1
11:20:41,-22.9,317.12,-7.262048,0,41,151.8125,18.25,912,39,0,1,1
11:20:42,-9.9,316.41,-3.132459,0,24,119.375,14.625,733,39,0,1,1
11:20:43,-4.6,316.02,-1.453692,0,14,90.8125,11.4375,574,39,0,1,1
11:20:44,0.8,315.66,0.252528,0,0,66.25,8.1875,411,39,0,1,1
11:20:45,1,315.6,0.3156,0,0,41.625,4.9375,249,39,0,1,1
11:20:46,1,315.6,0.3156,0,0,17.125,2,103,39,0,1,1
11:20:47,1,315.61,0.31561,0,0,4.875,0.8125,43,39,0,1,1
11:20:48,1,315.62,0.31562,0,0,0,0.0625,5,39,0,1,1
11:20:49,1.7,315.62,0.536554,0,13,2.4375,0.125,8,39,0,1,1
11:20:50,65,312.07,20.28455,0,215,71.5,4.5,226,39,0,1,1
11:20:51,85.2,309.87,26.400924,0,183,134.6875,10.8125,542,39,0,1,1
11:20:52,98.4,308.63,30.369192,0,156,178.5,15.6875,786,39,0,1,1
11:20:53,104.1,307.9,32.05239,0,138,201,19.75,989,39,0,1,1
11:20:54,105.8,307.5,32.5335,0,117,244.9375,23.6875,1185,39,0,1,1
11:20:55,112.6,306.92,34.559192,0,107,281.5625,27.375,1370,39,0,1,1
11:20:56,121.2,306.23,37.115076,0,108,278.6875,30.9375,1547,39,0,1,1
11:20:57,140.1,304.82,42.705282,0,133,265.125,34.125,1707,39,0,1,1
11:20:58,150.7,303.61,45.754027,0,153,266.875,37.875,1892,39,0,1,1
11:20:59,143.3,303.82,43.537406,0,155,255.875,41,2048,39,0,1,1
11:21:00,121.2,304.99,36.964788,0,148,251.1875,43.5625,2176,39,0,1,1
11:21:01,86.6,306.89,26.576674,0,125,263.75,45.1875,2259,39,0,1,1
11:21:02,61,308.53,18.82033,0,111,281.6875,46.125,2306,39,0,1,1
11:21:02,0,0,0,0,100,0,0,0,0,0,0,0
11:21:03,40.5,310.1,12.55905,0,98,285.3125,46.75,2337,39,0,1,1
11:21:04,23.1,311.52,7.196112,0,90,279.125,46.5625,2327,39,0,1,1
11:21:05,18.4,311.79,5.736936,0,93,288.375,45.9375,2297,39,0,1,1
