Date, Odometer, Battery Energy, Motor Energy, Auxiliary Energy, Hours Charging, Hours Running,, Hours On,,,,,,,,,
,82.69111111,1498.14228,42607.04889,-42566.57971,0,1.917222222,,0.0.00                              ,,,,,,,,,
                                                                                                                                                                                                                                           ,,,,,,,,,,,,,,,,,
Time Stamp, Battery Amperage, Battery Voltage, Battery Power In, Battery Power Out, Motor Current (AC), Motor Voltage (AC),, Motor Power, Auxiliary Power, Motor Controller Battery Current, Motor Controller Capacitor Voltage, Vehicle Speed, Motor Velocity, SOC, Time Charging, Time Operating, Vehicle Run Hours 
11:36:02,38.9,310.37,12073.393,0,0,0,,0,0,0,0,0,0,73,0,0,0
11:36:03,44.5,310.13,13800.785,0,76,4630,289.375,351880,-351880,50,308.5625,636,1987,,,,
11:36:04,43.2,310.2,13400.64,0,68,4605,,313140,-313140,51,308.6875,636,1987,,,,
11:36:05,44.9,310.28,13931.572,0,71,4595,,326245,-326245,49,308.5625,636,1986,,,,
11:36:06,43.8,310.18,13585.884,0,77,4451,,342727,-342727,49,308,637,1990,,,,
11:36:07,42.2,310.03,13083.266,0,68,4678,,318104,-318104,50,308.6875,637,1989,,,,
11:36:08,42.7,310.24,13247.248,0,69,4588,,316572,-316572,46,308.1875,637,1990,,,,
11:36:09,43.6,310.08,13519.488,0,74,4543,,336182,-336182,50,308.3125,638,1992,,,,
11:36:10,44.2,310.25,13713.05,0,70,4640,,324800,-324800,48,308.9375,639,1995,,,,
11:36:11,42.9,310.38,13315.302,0,79,4472,,353288,-353288,47,308.4375,639,1995,,,,
11:36:12,41.8,310.26,12968.868,0,76,4707,,357732,-357732,48,308.5625,638,1994,,,,
11:36:13,40.7,310.29,12628.803,0,77,4620,,355740,-355740,46,309.0625,638,1993,,,,
11:36:14,39.8,310.31,12350.338,0,68,4618,,314024,-314024,44,307.875,638,1992,,,,
11:36:15,39.4,310.42,12230.548,0,68,4688,,318784,-318784,45,308.8125,636,1988,,,,
11:36:16,38.4,310.22,11912.448,0,72,4632,,333504,-333504,47,309.0625,635,1985,,,,
11:36:17,41.6,310.26,12906.816,0,73,4533,,330909,-330909,45,308.6875,636,1986,,,,
11:36:18,42.3,310.13,13118.499,0,71,4575,,324825,-324825,49,308,636,1987,,,,
11:36:19,43.9,310.19,13617.341,0,71,4630,,328730,-328730,48,308.4375,636,1988,,,,
11:36:20,44.8,310.1,13892.48,0,74,4588,,339512,-339512,49,308.5625,637,1991,,,,
11:36:21,43.2,310.31,13405.392,0,73,4670,,340910,-340910,46,308.8125,639,1997,,,,
11:36:22,37.2,310.4,11546.88,0,69,4458,,307602,-307602,43,309.1875,639,1996,,,,
11:36:23,36.5,310.52,11333.98,0,66,4543,,299838,-299838,41,308.6875,639,1996,,,,
11:36:24,34.9,310.57,10838.893,0,68,4546,,309128,-309128,40,309.3125,637,1991,,,,
11:36:25,36.8,310.63,11431.184,0,61,4713,,287493,-287493,40,309.0625,637,1991,,,,
11:36:26,34.5,310.51,10712.595,0,62,4620,,286440,-286440,43,308.6875,636,1986,,,,
11:36:27,40.9,310.4,12695.36,0,73,4442,,324266,-324266,43,309.1875,636,1988,,,,
11:36:28,37.1,310.41,11516.211,0,75,4535,,340125,-340125,44,308.5625,635,1985,,,,
11:36:29,43.3,310.32,13436.856,0,67,4572,,306324,-306324,45,309.1875,635,1985,,,,
11:36:30,42.5,310.26,13186.05,0,72,4611,,331992,-331992,45,308.8125,636,1988,,,,
11:36:31,39,310.46,12107.94,0,66,4595,,303270,-303270,43,308.5625,638,1994,,,,
11:36:32,33.6,310.68,10438.848,0,68,4639,,315452,-315452,40,308.1875,639,1996,73,0,0,1
11:36:33,34.1,310.8,10598.28,0,69,4558,,314502,-314502,38,309.3125,639,1995,,,,
11:36:34,36.4,310.77,11312.028,0,73,4607,,336311,-336311,39,308.5625,638,1991,,,,
11:36:35,34.5,310.87,10725.015,0,73,4628,,337844,-337844,37,309.0625,637,1991,,,,
11:36:36,35.1,310.6,10902.06,0,61,4655,,283955,-283955,41,309.3125,637,1989,,,,
11:36:37,31.6,310.76,9820.016,0,67,4595,,307865,-307865,40,309.0625,637,1989,,,,
11:36:38,32.8,310.86,10196.208,0,60,4676,,280560,-280560,39,308.5625,636,1988,,,,
11:36:39,36.7,310.76,11404.892,0,75,4635,,347625,-347625,40,308.8125,637,1990,,,,
11:36:40,34.8,310.89,10818.972,0,69,4628,,319332,-319332,38,309.625,639,1995,,,,
11:36:41,27.8,311.13,8649.414,0,64,4639,,296896,-296896,33,309.875,639,1995,,,,
11:36:42,32.6,311.1,10141.86,0,76,4576,,347776,-347776,35,309.75,637,1990,,,,
11:36:43,34.4,310.85,10693.24,0,66,4660,,307560,-307560,40,308.6875,635,1985,,,,
11:36:44,37.3,310.93,11597.689,0,67,4630,,310210,-310210,38,309.0625,637,1989,,,,
11:36:45,28.5,310.98,8862.93,0,70,4624,,323680,-323680,38,308.8125,636,1989,,,,
11:36:46,30.2,311.09,9394.918,0,71,4581,,325251,-325251,35,310,637,1990,,,,
11:36:47,31.5,311.04,9797.76,0,62,4676,,289912,-289912,36,309.4375,634,1983,,,,
11:36:48,32.6,311.13,10142.838,0,58,4597,,266626,-266626,36,309.625,635,1985,,,,
11:36:49,32.3,310.96,10044.008,0,71,4604,,326884,-326884,38,309.3125,633,1980,,,,
11:36:50,37.2,310.9,11565.48,0,69,4500,,310500,-310500,40,309.5625,635,1983,,,,
11:36:51,34.4,310.74,10689.456,0,73,4585,,334705,-334705,43,309.3125,636,1988,,,,
11:36:52,34,310.91,10570.94,0,74,4566,,337884,-337884,40,308.8125,637,1989,,,,
11:36:53,33.4,310.92,10384.728,0,66,4622,,305052,-305052,41,308.6875,637,1988,,,,
11:36:54,37,310.82,11500.34,0,72,4430,,318960,-318960,40,309.0625,637,1988,,,,
11:36:55,31.6,310.77,9820.332,0,72,4662,,335664,-335664,40,308.6875,636,1987,,,,
11:36:56,37.3,310.62,11586.126,0,73,4609,,336457,-336457,44,308.6875,635,1983,,,,
11:36:57,41.2,310.63,12797.956,0,73,4465,,325945,-325945,42,309.4375,634,1982,,,,
11:36:58,39.3,310.41,12199.113,0,72,4591,,330552,-330552,47,309.0625,635,1984,,,,
11:36:59,41.6,310.56,12919.296,0,64,4630,,296320,-296320,44,308.1875,635,1985,,,,
