Date, Odometer [km], Battery Energy Out (Operating) [kJ], Battery Energy In (Charging)[kJ], Hours Charging [h], Hours Operating [h], Hours Running [h]
2015-05-01,-0.0565972222222,00.0792968983334,00000000000000.0,00000000000000.0,000.122777777778,00.0213888888889                                                                                                                                                                                                     

Time Stamp, Battery Current [A], Battery Voltage [V], Battery Power Out (Operating) [kW], Battery Power In (Charging)[kW], Motor Current [AC A rms], Motor Voltage [AC V rms], Vehicle Speed [km/h], Motor Velocity [RPM], SOC [%], Charging, Operating, Running
06:42:17,0,0,0,0,0,0.0,0,0,0,0,0,0,
06:42:18,0,0,0,0,0,0.0,0.0,0,0,0,0,0,
06:42:19,1.3,315.61,0.410293,0,0,0.0,0.0,0,44,0,1,0,
06:42:20,1.0,315.63,0.31563,0,0,0.0,0.0,0,44,0,1,0,
06:42:21,1.2,315.59,0.378708,0,0,0.0,0.0,0,44,0,1,0,
06:42:22,1.0,315.6,0.3156,0,0,0.0,0.0,0,44,0,1,0,
06:42:23,1.8,315.55,0.56799,0,0,0.0,0.0,0,44,0,1,0,
06:42:24,2.3,315.48,0.725604,0,0,0.0,0.0,0,44,0,1,0,
06:42:25,2.4,315.44,0.757056,0,0,0.0,0.0,0,44,0,1,0,
06:42:26,2.4,315.44,0.757056,0,0,0.0,0.0,0,44,0,1,0,
06:42:27,2.2,315.41,0.693902,0,0,0.0,0.0,0,44,0,1,0,
06:42:28,2.3,315.4,0.72542,0,0,0.0,0.0,0,44,0,1,0,
06:42:29,3.8,315.29,1.198102,0,0,0.0,0.0,0,44,0,1,0,
06:42:30,3.7,315.26,1.166462,0,0,0.0,0.0,0,44,0,1,0,
06:42:31,3.9,315.24,1.229436,0,0,0.0,0.0,0,44,0,1,0,
06:42:32,3.9,315.21,1.229319,0,0,0.0,0.0,0,44,0,1,0,
06:42:33,4.1,315.2,1.29232,0,0,0.0,0.0,0,44,0,1,0,
06:42:34,3.9,315.17,1.229163,0,0,0.0,0.0,0,44,0,1,0,
06:42:35,4.0,315.15,1.2606,0,0,0.0,0.0,0,44,0,1,0,
06:42:36,3.8,315.14,1.197532,0,0,0.0,0.0,0,44,0,1,0,
06:42:37,4.0,315.12,1.26048,0,0,0.0,0.0,0,44,0,1,0,
06:42:38,3.6,315.1,1.13436,0,0,0.0,0.0,0,44,0,1,0,
06:42:39,3.8,315.08,1.197304,0,0,0.0,0.0,0,44,0,1,0,
06:42:40,3.7,315.06,1.165722,0,0,0.0,0.0,0,44,0,1,0,
06:42:41,3.8,315.06,1.197228,0,0,0.0,0.0,0,44,0,1,0,
06:42:42,4.5,315.01,1.417545,0,0,0.0,0.0,0,44,0,1,0,
06:42:43,4.3,314.99,1.354457,0,0,0.0,0.0,0,44,0,1,0,
06:42:44,4.2,314.99,1.322958,0,0,0.0,0.0,0,44,0,1,0,
06:42:45,4.4,314.95,1.38578,0,0,0.0,0.0,0,44,0,1,0,
06:42:46,5.0,314.91,1.57455,0,5,3.625,0.0,0,44,0,1,0,
06:42:47,4.3,314.94,1.354242,0,0,0.0,0.0,0,44,0,1,0,
06:42:48,10.1,314.73,3.178773,0,63,19.5,-0.3125,-16,44,0,1,1,
06:42:49,6.1,314.89,1.920829,0,16,18.25,-1.625,-84,44,0,1,1,
06:42:50,8.2,314.52,2.579064,0,42,36.5625,-2.75,-139,44,0,1,1,
06:42:51,6.9,314.57,2.170533,0,26,41.5,-3.3125,-167,44,0,1,1,
06:42:52,5.1,314.69,1.604919,0,13,37.8125,-3.4375,-172,44,0,1,1,
06:42:53,4.0,314.73,1.25892,0,9,32.9375,-3.0625,-154,44,0,1,1,
06:42:54,4.2,314.76,1.321992,0,6,30.5625,-2.8125,-140,44,0,1,1,
06:42:55,3.0,314.83,0.94449,0,0,18.3125,-2.1875,-111,44,0,1,1,
06:42:56,3.1,314.84,0.976004,0,0,13.375,-1.4375,-74,44,0,1,1,
06:42:57,2.9,314.83,0.913007,0,0,12.1875,-0.875,-46,44,0,1,1,
06:42:58,4.5,314.78,1.41651,0,18,14.625,-0.8125,-42,44,0,1,1,
06:42:59,5.8,314.63,1.824854,0,34,21.9375,-1.375,-69,44,0,1,1,
06:43:00,2.9,314.76,0.912804,0,0,8.5,-1.375,-65,44,0,1,1,
06:43:01,3.2,314.79,1.007328,0,0,10.9375,-1.125,-57,44,0,1,1,
06:43:01,3.1,314.82,0.975942,0,0,0,0,0,44,0,1,0,
06:43:02,3.7,314.76,1.164612,0,9,17.0625,-1.0,-55,44,0,1,1,
06:43:03,10.0,314.29,3.1429,0,84,24.375,-1.0625,-55,44,0,1,1,
06:43:04,10.0,314.27,3.1427,0,54,31.625,-2.1875,-112,44,0,1,1,
06:43:05,5.3,314.55,1.667115,0,16,31.6875,-2.5625,-130,44,0,1,1,
06:43:06,3.6,314.7,1.13292,0,4,23.1875,-2.0625,-106,44,0,1,1,
06:43:07,4.8,314.6,1.51008,0,0,8.5,-1.375,-71,44,0,1,1,
06:43:08,3.1,314.68,0.975508,0,0,7.3125,-0.75,-40,44,0,1,1,
06:43:09,3.2,314.71,1.007072,0,0,0.0,0.0,0,44,0,1,0,
06:43:10,4.3,314.69,1.353167,0,11,7.3125,0.0625,6,44,0,1,1,
06:43:11,4.6,314.61,1.447206,0,30,13.375,-0.4375,-22,44,0,1,1,
06:43:12,5.2,314.51,1.635452,0,25,10.9375,-0.375,-21,44,0,1,1,
06:43:13,4.9,314.56,1.541344,0,27,13.375,-0.5625,-29,44,0,1,1,
06:43:14,3.1,314.62,0.975322,0,6,9.75,-0.5625,-30,44,0,1,1,
06:43:15,3.8,314.63,1.195594,0,6,4.875,-0.125,-8,44,0,1,1,
06:43:16,4.0,314.56,1.25824,0,28,10.9375,-0.25,-13,44,0,1,1,
06:43:17,4.4,314.58,1.384152,0,20,12.1875,-0.4375,-23,44,0,1,1,
06:43:18,4.2,314.54,1.321068,0,20,10.9375,-0.4375,-23,44,0,1,1,
