Date, Odometer [km], Battery Energy Out (Operating) [kJ], Battery Energy In (Charging)[kJ], Hours Charging [h], Hours Operating [h], Hours Running [h]
2015-05-01,0009.28651041666,0004.68289284278,00000000000000.0,00000000000000.0,0001.06166666665,000.322500000004                                                                                                                                                                                                     

Time Stamp, Battery Current [A], Battery Voltage [V], Battery Power Out (Operating) [kW], Battery Power In (Charging)[kW], Motor Current [AC A rms], Motor Voltage [AC V rms], Vehicle Speed [km/h], Motor Velocity [RPM], SOC [%], Charging, Operating, Running
13:24:39,0,0,0,0,0,0,0,0,0,0,0,0,
13:24:40,0.6,315.48,0.189288,0,0,0.0,0.0,0,47,0,1,0,
13:24:41,0.6,315.49,0.189294,0,0,0.0,0.0,0,47,0,1,0,
13:24:42,0.6,315.48,0.189288,0,0,0.0,0.0,0,47,0,1,0,
13:24:43,0.6,315.49,0.189294,0,0,0.0,0.0,0,47,0,1,0,
13:24:44,0.6,315.48,0.189288,0,0,0.0,0.0,0,47,0,1,0,
13:24:45,0.6,315.48,0.189288,0,0,0.0,0.0,0,47,0,1,0,
13:24:46,0.6,315.48,0.189288,0,0,0.0,0.0,0,47,0,1,0,
13:24:47,0.6,315.47,0.189282,0,0,0.0,0.0,0,47,0,1,0,
13:24:48,0.6,315.47,0.189282,0,0,0.0,0.0,0,47,0,1,0,
13:24:49,0.6,315.47,0.189282,0,0,0.0,0.0,0,47,0,1,0,
13:24:50,0.6,315.47,0.189282,0,0,0.0,0.0,0,47,0,1,0,
13:24:51,0.6,315.47,0.189282,0,0,0.0,0.0,0,47,0,1,0,
13:24:52,0.6,315.47,0.189282,0,0,0.0,0.0,0,47,0,1,0,
13:24:53,0.6,315.47,0.189282,0,0,0.0,0.0,0,47,0,1,0,
13:24:54,0.6,315.47,0.189282,0,0,0.0,0.0,0,47,0,1,0,
13:24:55,0.6,315.46,0.189276,0,0,0.0,0.0,0,47,0,1,0,
13:24:56,0.6,315.47,0.189282,0,0,0.0,0.0,0,47,0,1,0,
13:24:57,0.6,315.46,0.189276,0,0,0.0,0.0,0,47,0,1,0,
13:24:58,0.6,315.46,0.189276,0,0,0.0,0.0,0,47,0,1,0,
13:24:59,0.6,315.46,0.189276,0,0,0.0,0.0,0,47,0,1,0,
13:25:00,0.6,315.47,0.189282,0,0,0.0,0.0,0,47,0,1,0,
13:25:01,0.6,315.46,0.189276,0,0,0.0,0.0,0,47,0,1,0,
13:25:02,0.6,315.45,0.18927,0,0,0.0,0.0,0,47,0,1,0,
13:25:02,0.6,315.45,0.18927,0,0,0,0,0,47,0,1,0,
13:25:03,0.6,315.45,0.18927,0,0,0.0,0.0,0,47,0,1,0,
13:25:04,0.6,315.44,0.189264,0,0,0.0,0.0,0,47,0,1,0,
13:25:05,0.6,315.45,0.18927,0,0,0.0,0.0,0,47,0,1,0,
13:25:06,0.6,315.44,0.189264,0,0,0.0,0.0,0,47,0,1,0,
13:25:07,0.6,315.44,0.189264,0,0,0.0,0.0,0,47,0,1,0,
13:25:08,0.6,315.44,0.189264,0,0,0.0,0.0,0,47,0,1,0,
13:25:09,0.6,315.44,0.189264,0,0,0.0,0.0,0,47,0,1,0,
13:25:10,0.6,315.44,0.189264,0,0,0.0,0.0,0,47,0,1,0,
13:25:11,0.6,315.45,0.18927,0,0,0.0,0.0,0,47,0,1,0,
13:25:12,0.6,315.43,0.189258,0,0,0.0,0.0,0,47,0,1,0,
13:25:13,0.6,315.44,0.189264,0,0,0.0,0.0,0,47,0,1,0,
13:25:14,0.6,315.43,0.189258,0,0,0.0,0.0,0,47,0,1,0,
13:25:15,0.6,315.43,0.189258,0,0,0.0,0.0,0,47,0,1,0,
13:25:16,0.6,315.43,0.189258,0,0,0.0,0.0,0,47,0,1,0,
13:25:17,0.6,315.43,0.189258,0,0,0.0,0.0,0,47,0,1,0,
13:25:18,0.6,315.42,0.189252,0,0,0.0,0.0,0,47,0,1,0,
13:25:19,0.6,315.42,0.189252,0,0,0.0,0.0,0,47,0,1,0,
13:25:20,0.6,315.42,0.189252,0,0,0.0,0.0,0,47,0,1,0,
13:25:21,0.6,315.43,0.189258,0,0,0.0,0.0,0,47,0,1,0,
13:25:22,0.6,315.42,0.189252,0,0,0.0,0.0,0,47,0,1,0,
13:25:23,0.6,315.42,0.189252,0,0,0.0,0.0,0,47,0,1,0,
13:25:24,0.6,315.42,0.189252,0,0,0.0,0.0,0,47,0,1,0,
13:25:25,0.6,315.42,0.189252,0,0,0.0,0.0,0,47,0,1,0,
13:25:26,0.6,315.42,0.189252,0,0,0.0,0.0,0,47,0,1,0,
13:25:27,0.6,315.42,0.189252,0,0,0.0,0.0,0,47,0,1,0,
13:25:28,0.6,315.41,0.189246,0,0,0.0,0.0,0,47,0,1,0,
13:25:29,0.6,315.42,0.189252,0,0,0.0,0.0,0,47,0,1,0,
13:25:30,0.6,315.42,0.189252,0,0,0.0,0.0,0,47,0,1,0,
13:25:31,0.6,315.42,0.189252,0,0,0.0,0.0,0,47,0,1,0,
13:25:32,0.6,315.42,0.189252,0,0,0.0,0.0,0,47,0,1,0,
13:25:33,0.6,315.42,0.189252,0,0,0.0,0.0,0,47,0,1,0,
13:25:34,0.6,315.42,0.189252,0,0,0.0,0.0,0,47,0,1,0,
13:25:35,0.6,315.41,0.189246,0,0,0.0,0.0,0,47,0,1,0,
13:25:36,0.6,315.42,0.189252,0,0,0.0,0.0,0,47,0,1,0,
13:25:37,0.6,315.41,0.189246,0,0,0.0,0.0,0,47,0,1,0,
13:25:38,0.6,315.42,0.189252,0,0,0.0,0.0,0,47,0,1,0,
13:25:39,0.6,315.41,0.189246,0,0,0.0,0.0,0,47,0,1,0,
13:25:40,0.6,315.41,0.189246,0,0,0.0,0.0,0,47,0,1,0,
13:25:41,0.6,315.41,0.189246,0,0,0.0,0.0,0,47,0,1,0,
13:25:42,0.6,315.4,0.18924,0,0,0.0,0.0,0,47,0,1,0,
13:25:43,0.6,315.41,0.189246,0,0,0.0,0.0,0,47,0,1,0,
13:25:44,0.6,315.4,0.18924,0,0,0.0,0.0,0,47,0,1,0,
13:25:45,0.6,315.42,0.189252,0,0,0.0,0.0,0,47,0,1,0,
13:25:46,0.6,315.41,0.189246,0,0,0.0,0.0,0,47,0,1,0,
13:25:47,0.6,315.41,0.189246,0,0,0.0,0.0,0,47,0,1,0,
13:25:48,0.6,315.4,0.18924,0,0,0.0,0.0,0,47,0,1,0,
13:25:49,0.6,315.4,0.18924,0,0,0.0,0.0,0,47,0,1,0,
13:25:50,0.6,315.41,0.189246,0,0,0.0,0.0,0,47,0,1,0,
13:25:51,0.6,315.4,0.18924,0,0,0.0,0.0,0,47,0,1,0,
13:25:52,0.6,315.4,0.18924,0,0,0.0,0.0,0,47,0,1,0,
13:25:53,0.6,315.39,0.189234,0,0,0.0,0.0,0,47,0,1,0,
13:25:54,0.6,315.4,0.18924,0,0,0.0,0.0,0,47,0,1,0,
13:25:55,0.6,315.4,0.18924,0,0,0.0,0.0,0,47,0,1,0,
13:25:56,0.6,315.4,0.18924,0,0,0.0,0.0,0,47,0,1,0,
13:25:57,0.6,315.4,0.18924,0,0,0.0,0.0,0,47,0,1,0,
13:25:58,0.6,315.39,0.189234,0,0,0.0,0.0,0,47,0,1,0,
13:25:59,0.6,315.39,0.189234,0,0,0.0,0.0,0,47,0,1,0,
13:26:00,0.6,315.39,0.189234,0,0,0.0,0.0,0,47,0,1,0,
13:26:01,0.6,315.4,0.18924,0,0,0.0,0.0,0,47,0,1,0,
13:26:01,0,0,0,0,0,0,0,0,0,0,0,0,
13:26:02,0.6,315.4,0.18924,0,0,0.0,0.0,0,47,0,1,0,
13:26:03,0.6,315.39,0.189234,0,0,0.0,0.0,0,47,0,1,0,
13:26:04,0.6,315.39,0.189234,0,0,0.0,0.0,0,47,0,1,0,
13:26:05,0.6,315.4,0.18924,0,0,0.0,0.0,0,47,0,1,0,
13:26:06,0.6,315.39,0.189234,0,0,0.0,0.0,0,47,0,1,0,
13:26:07,0.6,315.38,0.189228,0,0,0.0,0.0,0,47,0,1,0,
13:26:08,0.6,315.39,0.189234,0,0,0.0,0.0,0,47,0,1,0,
13:26:09,0.6,315.39,0.189234,0,0,0.0,0.0,0,47,0,1,0,
13:26:10,0.6,315.39,0.189234,0,0,0.0,0.0,0,47,0,1,0,
13:26:11,0.6,315.39,0.189234,0,0,0.0,0.0,0,47,0,1,0,
13:26:12,0.6,315.39,0.189234,0,0,0.0,0.0,0,47,0,1,0,
13:26:13,0.6,315.38,0.189228,0,0,0.0,0.0,0,47,0,1,0,
13:26:14,0.6,315.39,0.189234,0,0,0.0,0.0,0,47,0,1,0,
13:26:15,0.6,315.39,0.189234,0,0,0.0,0.0,0,47,0,1,0,
13:26:16,0.6,315.38,0.189228,0,0,0.0,0.0,0,47,0,1,0,
13:26:17,0.6,315.38,0.189228,0,0,0.0,0.0,0,47,0,1,0,
13:26:18,0.6,315.37,0.189222,0,0,0.0,0.0,0,47,0,1,0,
13:26:19,0.6,315.38,0.189228,0,0,0.0,0.0,0,47,0,1,0,
13:26:20,0.6,315.37,0.189222,0,0,0.0,0.0,0,47,0,1,0,
13:26:21,0.6,315.37,0.189222,0,0,0.0,0.0,0,47,0,1,0,
13:26:22,0.6,315.38,0.189228,0,0,0.0,0.0,0,47,0,1,0,
13:26:23,0.6,315.37,0.189222,0,0,0.0,0.0,0,47,0,1,0,
13:26:24,0.6,315.38,0.189228,0,0,0.0,0.0,0,47,0,1,0,
