Date, Odometer [km], Battery Energy Out (Operating) [kWh], Battery Energy In (Charging)[kWh], Hours Charging [h], Hours Operating [h], Hours Running [h]
2015-05-02,0001.98036458333,000.753392820277,00000000000000.0,00000000000000.0,000.100555555555,00.0905555555556                                                                                                                                                                                                   

Time Stamp, SOC [%], Battery Current [A], Battery Voltage [V], Battery Power Out (Operating) [kW], Battery Power In (Charging)[kW], Motor Current [AC A rms], Motor Voltage [AC V rms], Motor Controller Capacitor Voltage [V], Vehicle Speed [km/h], Motor Velocity [RPM], Current Highest Priority Fault, Traction State, Maximum Battery Discharge Current [A], Maximum Battery Charge Current [A], Motor Temperature [Celcius], Motor Controller Heatsink Temperature [Celcius], Battery Pack Highest Temperature [Celcius], Batt High Temp ID, Batter Pack Lowest Temperature [Celcius], Batt Low Temp ID, Charging, Operating, Running
14:16:01,0,0,0,0,0,26,0,310.9375,0,0,0,2,0,0,0,40,0,0,0,0,0,0,0,
14:16:02,76,20.6,313.22,6.452332,0,26,208.4375,312.25,22.9375,1146,0,2,250,65436,39,40,5654,1,22,1,0,1,1,
14:16:03,76,22.2,313.27,6.954594,0,26,209.1875,311.4375,22.9375,1146,0,2,250,65436,40,40,5654,1,22,1,0,1,1,
14:16:04,76,20.8,313.25,6.5156,0,27,211.75,311.5625,22.9375,1147,0,2,250,65436,40,40,5654,1,22,1,0,1,1,
14:16:05,76,19.9,313.3,6.23467,0,25,210.75,311.5625,22.9375,1148,0,2,250,65436,39,40,5654,1,22,1,0,1,1,
14:16:06,76,22.0,313.32,6.89304,0,27,207.0,311.875,22.9375,1147,0,2,250,65436,39,40,5654,1,22,1,0,1,1,
14:16:07,76,20.9,313.25,6.546925,0,27,209.1875,311.3125,22.875,1145,0,2,250,65436,40,40,5654,1,22,1,0,1,1,
14:16:08,76,22.9,313.31,7.174799,0,27,211.9375,310.6875,22.9375,1145,0,2,250,65436,40,40,5654,1,22,1,0,1,1,
14:16:09,76,22.5,313.22,7.04745,0,27,213.0,311.4375,22.875,1144,0,2,250,65436,40,40,5654,1,22,1,0,1,1,
14:16:10,76,21.5,313.27,6.735305,0,25,208.5625,312.25,22.9375,1148,0,2,250,65436,39,40,5654,1,22,1,0,1,1,
14:16:11,76,23.2,313.25,7.2674,0,28,212.0625,311.1875,22.9375,1148,0,2,250,65436,39,40,5654,1,22,1,0,1,1,
14:16:12,76,23.9,313.11,7.483329,0,30,208.9375,310.9375,22.8125,1142,0,2,250,65436,39,40,5654,1,22,1,0,1,1,
14:16:13,76,23.2,313.0,7.2616,0,31,209.9375,311.0625,22.8125,1142,0,2,250,65436,40,40,5654,1,22,1,0,1,1,
14:16:14,76,23.7,313.04,7.419048,0,29,206.4375,311.0625,22.875,1143,0,2,250,65436,42,40,5654,1,22,1,0,1,1,
14:16:15,76,26.7,312.96,8.356032,0,32,210.1875,310.9375,22.75,1139,0,2,250,65436,40,40,5654,1,22,1,0,1,1,
14:16:16,76,27.8,312.81,8.696118,0,33,211.0,310.4375,22.75,1139,0,2,250,65436,39,40,5654,1,22,1,0,1,1,
14:16:17,76,27.0,312.79,8.44533,0,33,213.625,310.6875,22.8125,1142,0,2,250,65436,38,40,5654,1,22,1,0,1,1,
14:16:18,76,29.8,312.75,9.31995,0,35,208.875,311.1875,22.875,1144,0,2,250,65436,39,40,5654,1,22,1,0,1,1,
14:16:19,76,29.7,312.63,9.285111,0,37,210.25,311.4375,22.8125,1142,0,2,250,65436,40,40,5654,1,22,1,0,1,1,
14:16:20,75,28.9,312.63,9.035007,0,36,208.9375,311.1875,22.875,1143,0,2,250,65436,41,40,5654,1,22,1,0,1,1,
14:16:21,75,27.4,312.63,8.566062,0,37,213.5625,310.4375,22.9375,1148,0,2,250,65436,40,40,5654,1,22,1,0,1,1,
14:16:22,75,27.4,312.65,8.56661,0,34,212.4375,310.6875,23.0,1149,0,2,250,65436,37,40,5654,1,22,1,0,1,1,
14:16:23,75,30.4,312.57,9.502128,0,36,209.9375,310.9375,22.875,1143,0,2,250,65436,40,40,5654,1,22,1,0,1,1,
14:16:24,75,30.3,312.55,9.470265,0,36,209.75,310.4375,23.0,1149,0,2,250,65436,40,40,5654,1,22,1,0,1,1,
14:16:25,75,28.3,312.66,8.848278,0,35,211.5,310.9375,23.0,1150,0,2,250,65436,39,41,5654,1,22,1,0,1,1,
14:16:26,75,27.0,312.64,8.44128,0,33,210.8125,310.9375,23.0,1150,0,2,250,65436,38,41,5654,1,22,1,0,1,1,
14:16:27,75,28.0,312.64,8.75392,0,34,212.5,310.9375,23.0,1149,0,2,250,65436,38,41,5654,1,22,1,0,1,1,
14:16:28,75,26.9,312.67,8.410823,0,35,211.25,310.6875,22.9375,1147,0,2,250,65436,38,40,5654,1,22,1,0,1,1,
14:16:29,75,27.2,312.68,8.504896,0,34,208.875,310.9375,23.0,1149,0,2,250,65436,40,41,5654,1,22,1,0,1,1,
14:16:30,75,28.9,312.57,9.033273,0,37,210.1875,311.3125,22.9375,1146,0,2,250,65436,39,41,5654,1,22,1,0,1,1,
14:16:31,75,30.0,312.52,9.3756,0,38,212.6875,310.6875,22.875,1144,0,2,250,65436,39,41,5654,1,22,1,0,1,1,
14:16:32,75,29.8,312.45,9.31101,0,37,211.0625,310.6875,22.875,1144,0,2,250,65436,40,41,5654,1,22,1,0,1,1,
14:16:33,75,28.6,312.39,8.934354,0,39,208.875,310.8125,22.875,1145,0,2,250,65436,41,41,5654,1,22,1,0,1,1,
14:16:34,75,30.8,312.43,9.622844,0,40,212.4375,310.5625,22.875,1144,0,2,250,65436,41,41,5654,1,22,1,0,1,1,
14:16:35,75,33.1,312.31,10.337461,0,39,212.25,310.3125,22.8125,1141,0,2,250,65436,41,41,5654,1,22,1,0,1,1,
14:16:36,75,30.7,312.27,9.586689,0,40,212.75,309.375,22.875,1144,0,2,250,65436,39,41,5654,1,22,1,0,1,1,
14:16:37,75,29.0,312.41,9.05989,0,37,211.3125,311.3125,23.0,1150,0,2,250,65436,40,41,5654,1,22,1,0,1,1,
14:16:38,75,29.8,312.35,9.30803,0,37,214.9375,311.1875,22.9375,1147,0,2,250,65436,40,41,5654,1,22,1,0,1,1,
14:16:39,75,31.9,312.37,9.964603,0,37,210.8125,310.5625,22.9375,1147,0,2,250,65436,40,41,5654,1,22,1,0,1,1,
14:16:40,75,31.3,312.28,9.774364,0,36,215.5,310.8125,22.9375,1147,0,2,250,65436,41,41,5654,1,22,1,0,1,1,
14:16:41,75,31.1,312.4,9.71564,0,36,208.8125,311.0625,23.0,1149,0,2,250,65436,41,41,5654,1,22,1,0,1,1,
14:16:42,75,30.6,312.33,9.557298,0,36,213.1875,310.1875,22.9375,1147,0,2,250,65436,41,41,5654,1,22,1,0,1,1,
14:16:43,75,28.0,312.33,8.74524,0,36,213.375,310.8125,23.0,1153,0,2,250,65436,40,41,5654,1,22,1,0,1,1,
14:16:44,75,26.2,312.31,8.182522,0,35,221.1875,310.6875,22.9375,1151,0,2,250,65436,39,41,5654,1,22,1,0,1,1,
14:16:45,75,29.1,312.36,9.089676,0,35,212.5,311.1875,23.0,1148,0,2,250,65436,39,41,5654,1,22,1,0,1,1,
14:16:46,75,30.5,312.31,9.525455,0,36,214.0,310.3125,22.875,1144,0,2,250,65436,39,41,5654,1,22,1,0,1,1,
14:16:47,75,30.3,312.33,9.463599,0,38,211.0625,310.6875,22.9375,1147,0,2,250,65436,40,41,5654,1,22,1,0,1,1,
14:16:48,75,34.5,312.18,10.77021,0,41,209.6875,309.875,22.8125,1140,0,2,250,65436,40,41,5654,1,22,1,0,1,1,
14:16:49,75,33.4,312.17,10.426478,0,37,210.8125,310.0,22.875,1145,0,2,250,65436,37,41,5654,1,22,1,0,1,1,
14:16:50,75,28.5,312.29,8.900265,0,32,212.1875,310.4375,23.0,1153,0,2,250,65436,37,41,5654,1,22,1,0,1,1,
14:16:51,75,26.0,312.42,8.12292,0,33,214.3125,310.125,23.125,1157,0,2,250,65436,37,41,5654,1,22,1,0,1,1,
14:16:52,75,26.8,312.54,8.376072,0,30,214.9375,311.0625,23.125,1157,0,2,250,65436,40,41,5654,1,22,1,0,1,1,
14:16:53,75,23.0,312.59,7.18957,0,31,212.0,311.0625,23.0625,1154,0,2,250,65436,40,41,5654,1,22,1,0,1,1,
14:16:54,75,23.8,312.6,7.43988,0,30,211.3125,311.3125,23.0625,1154,0,2,250,65436,38,41,5654,1,22,1,0,1,1,
14:16:55,75,27.3,312.54,8.532342,0,29,211.3125,311.0625,22.875,1145,0,2,250,65436,39,41,5654,1,22,1,0,1,1,
14:16:56,75,25.7,312.38,8.028166,0,32,212.6875,310.8125,22.9375,1149,0,2,250,65436,39,41,5654,1,22,1,0,1,1,
14:16:57,75,29.2,312.56,9.126752,0,36,209.8125,310.3125,22.875,1142,0,2,250,65436,39,41,5654,1,22,1,0,1,1,
14:16:58,75,27.6,312.49,8.624724,0,33,211.3125,310.9375,22.875,1147,0,2,250,65436,39,41,5654,1,22,1,0,1,1,
14:16:59,75,26.3,312.54,8.219802,0,30,210.1875,310.5625,23.0,1151,0,2,250,65436,39,41,5654,1,22,1,0,1,1,
