Date, Odometer, Battery Energy, Motor Energy, Auxiliary Energy, Hours Charging, Hours Running, Hours On,,,,,,,,,
ripts/Datalogs/candump-201,1082488,3040565.24,0,43206021.73,0,3514,0,,,,,,,,,
                                                                                                                                                                                                                                           ,,,,,,,,,,,,,,,,
Time Stamp, Battery Amperage, Battery Voltage, Battery Power In, Battery Power Out, Motor Current, Motor Voltage, Motor Power, Auxiliary Power, MC Battery Current, MC Capacitor Voltage, Vehicle Speed, Motor Velocity, SOC, Time Charging, Time Operating, Vehicle Run Hours 
13:35:41,0,0,0,0,0,0,0,0,0,16.375,0,0,0,0,0,0
13:35:42,0,0,0,0,0,0,0,0,0.0625,16.75,0,0,,,,
13:35:43,2.5,317.58,793.95,0,0,0,0,0,0,197.9375,0,0,,,,
13:35:44,2.3,317.57,730.411,0,0,0,0,0,0,265.875,0,0,,,,
13:35:45,2.3,317.58,730.434,0,0,0,0,0,0,315,1,4,,,,
13:35:46,2.4,317.57,762.168,0,0,0,0,0,0,315.75,2,7,,,,
13:35:47,2.4,317.56,762.144,0,0,0,0,0,0,314.5625,2,7,,,,
13:35:48,2.3,317.55,730.365,0,0,0,0,0,0,315.625,0,0,,,,
13:35:49,2.3,317.55,730.365,0,0,0,0,0,0,315.625,0,2,,,,
13:35:50,1,317.56,317.56,0,0,0,0,0,0,315.125,0,1,,,,
13:35:51,1,317.63,317.63,0,0,0,0,0,0,314.875,0,3,,,,
13:35:52,1,317.63,317.63,0,0,0,0,0,0,315.75,0,0,,,,
13:35:53,1,317.64,317.64,0,0,0,0,0,0,315.75,0,0,,,,
13:35:54,1,317.65,317.65,0,0,0,0,0,0,314.8125,0,0,,,,
13:35:55,1,317.66,317.66,0,0,0,0,0,0,315,0,0,,,,
13:35:56,1,317.65,317.65,0,0,0,0,0,0,315.5,0,0,,,,
13:35:57,1,317.65,317.65,0,0,0,0,0,0,315.375,0,0,,,,
13:35:58,1.2,317.63,381.156,0,0,0,0,0,0,315.25,0,0,,,,
13:35:59,1.1,317.65,349.415,0,0,0,0,0,0,315,1,4,,,,
13:36:00,1.5,317.63,476.445,0,0,0,0,0,0,314.875,0,1,,,,
13:36:01,2.9,317.52,920.808,0,22,0,0,0,1.6875,315.625,9,30,,,,
13:36:01,7.7,317.18,2442.286,0,0,0,0,0,0,0,0,0,2.9,0,0,0
13:36:02,7.7,317.18,2442.286,0,56,0,0,0,0,314.8125,0,0,,,,
13:36:03,14.5,316.59,4590.555,0,63,0,0,0,15.4375,314.3125,76,240,,,,
13:36:04,11.7,316.61,3704.337,0,43,0,0,0,14.3125,314.4375,108,339,,,,
13:36:05,1.5,317.37,476.055,0,10,0,0,0,1.5625,315.5,106,325,,,,
13:36:06,-3275.1,317.73,0,1040597.523,15,0,0,1040597.523,4093,314.8125,105,325,,,,
13:36:07,2.1,317.51,666.771,0,0,0,0,0,4095.875,315.625,87,275,,,,
13:36:08,8.1,317.08,2568.348,0,29,0,0,0,6.5625,314.3125,85,266,,,,
13:36:09,2.3,317.31,729.813,0,0,0,0,0,3.1875,315.125,90,279,,,,
13:36:10,0.5,317.54,158.77,0,4,0,0,0,4095.375,315.625,83,262,,,,
13:36:11,-3276.3,317.65,0,1040716.695,12,0,0,1040716.695,4094.6875,314.875,72,225,,,,
13:36:12,1.4,317.54,444.556,0,0,0,0,0,0,314.875,67,211,,,,
13:36:13,2.3,317.48,730.204,0,5,0,0,0,1.3125,314.6875,73,230,,,,
13:36:14,3.5,317.36,1110.76,0,9,0,0,0,2.0625,314.5625,85,268,,,,
13:36:15,16.9,316.53,5349.357,0,68,0,0,0,14.6875,314.0625,93,291,,,,
13:36:16,40.5,314.73,12746.565,0,110,0,0,0,39,312.1875,123,387,,,,
13:36:17,68.1,312.4,21274.44,0,133,0,0,0,69.1875,309.4375,184,589,,,,
13:36:18,90.8,310.48,28191.584,0,141,0,0,0,94.125,307.625,251,788,,,,
13:36:19,102.1,309.33,31582.593,0,125,0,0,0,101.875,306.25,319,1000,,,,
13:36:20,120.8,307.67,37166.536,0,125,0,0,0,120.8125,304.6875,386,1213,,,,
13:36:21,137.7,306.03,42140.331,0,126,0,0,0,139.75,303.375,451,1414,,,,
13:36:22,151.8,304.73,46258.014,0,136,0,0,0,155.1875,301.9375,517,1621,,,,
13:36:23,36.4,311.34,11332.776,0,54,0,0,0,59.375,308.25,547,1710,,,,
13:36:24,-3265.4,315.51,0,1030266.354,30,0,0,1030266.354,4094.9375,313.5,521,1628,,,,
13:36:25,15.8,314.17,4963.886,0,17,0,0,0,13.5,311.8125,494,1547,,,,
13:36:26,63.9,310.52,19842.228,0,64,0,0,0,73,308.375,493,1541,,,,
13:36:27,-3255.6,316.78,0,1031308.968,29,0,0,1031308.968,4087.25,314.875,478,1493,,,,
13:36:28,-3252.7,317.17,0,1031658.859,23,0,0,1031658.859,4072.4375,315.25,429,1341,,,,
13:36:29,-3254.7,317.25,0,1032553.575,24,0,0,1032553.575,4075.125,315.5,375,1173,,,,
13:36:30,-3263.5,317.07,0,1034757.945,26,0,0,1034757.945,4080.0625,315.25,325,1017,,,,
13:36:31,30.9,314.3,9711.87,0,42,0,0,0,15.1875,311.6875,304,950,87,0,0,1
13:36:32,30.8,313.72,9662.576,0,43,0,0,0,32.125,311.5625,301,940,,,,
13:36:33,53.5,312.38,16712.33,0,68,0,0,0,45.375,309.9375,306,957,,,,
13:36:34,99.4,308.88,30702.672,0,113,0,0,0,97.3125,306.5625,350,1093,,,,
13:36:35,115.5,307.11,35471.205,0,111,0,0,0,120.5625,304.6875,425,1328,,,,
13:36:36,123.7,306.09,37863.333,0,113,0,0,0,127.875,302.5,480,1501,,,,
13:36:37,106.7,307.03,32760.101,0,96,0,0,0,112.75,304.5625,528,1650,,,,
13:36:38,101.2,307.33,31101.796,0,113,0,0,0,104.5625,304.8125,566,1769,,,,
13:36:39,107.1,306.46,32821.866,0,98,0,0,0,109.375,304.4375,594,1856,,,,
13:36:40,79.3,308.18,24438.674,0,93,0,0,0,91.375,306.125,617,1927,,,,
13:36:41,77.8,308.48,23999.744,0,95,0,0,0,83.3125,306.125,630,1968,,,,
13:36:42,71.8,308.88,22177.584,0,98,0,0,0,77.6875,306.3125,644,2011,,,,
13:36:43,55.2,309.86,17104.272,0,78,0,0,0,61.9375,307.4375,655,2046,,,,
13:36:44,42.6,310.8,13240.08,0,78,0,0,0,48.625,308.625,654,2044,,,,
13:36:45,38.7,311.14,12041.118,0,69,0,0,0,43.125,308.5,650,2031,,,,
13:36:46,42,311.19,13069.98,0,74,0,0,0,43.4375,309.3125,646,2019,,,,
13:36:47,58.1,310.03,18012.743,0,87,0,0,0,57.0625,306.9375,635,1983,,,,
13:36:48,43.1,310.45,13380.395,0,74,0,0,0,54.125,307.875,640,2001,,,,
13:36:49,61.1,309.96,18938.556,0,83,0,0,0,59.0625,307.4375,635,1985,,,,
13:36:50,63.4,309.59,19628.006,0,77,0,0,0,65.5,307.625,634,1982,,,,
13:36:51,61.7,309.53,19098.001,0,86,0,0,0,67.5625,306.6875,637,1991,,,,
13:36:52,56.6,309.45,17514.87,0,81,0,0,0,68.5625,306.6875,638,1993,,,,
13:36:53,60.2,309.72,18645.144,0,80,0,0,0,64.8125,307.5,641,2003,,,,
13:36:54,58.8,309.57,18202.716,0,84,0,0,0,60.375,307.4375,641,2002,,,,
13:36:55,50.3,310.04,15595.012,0,82,0,0,0,58.5625,307.75,642,2006,,,,
13:36:56,48.9,309.98,15158.022,0,84,0,0,0,56.4375,307.75,641,2005,,,,
13:36:57,50,310.01,15500.5,0,69,0,0,0,56.625,307.5,640,2000,,,,
13:36:58,42.9,310.24,13309.296,0,72,0,0,0,52.875,307.875,642,2007,,,,
13:36:59,52.3,309.97,16211.431,0,76,0,0,0,54.375,308,639,1996,,,,
13:37:00,54.6,310.02,16927.092,0,81,0,0,0,54.75,306.9375,639,1996,,,,
13:37:01,52.6,309.93,16302.318,0,82,0,0,0,56.25,307.625,639,1995,86.8,0,0,1
13:37:02,47.6,310.2,14765.52,0,83,0,0,0,52.75,308.125,641,2004,,,,
13:37:02,48.6,310.23,15077.178,0,0,0,0,0,0,0,0,0,2.866666667,0,0,0
13:37:03,43.2,310.31,13405.392,0,80,0,0,0,51.125,307.75,641,2004,,,,
13:37:04,45,310.43,13969.35,0,77,0,0,0,50.625,308.125,641,2003,,,,
13:37:05,44.3,310.35,13748.505,0,79,0,0,0,51.375,307.625,640,2000,,,,
13:37:06,40.8,310.72,12677.376,0,82,0,0,0,46.1875,308.375,642,2006,,,,
13:37:07,43.8,310.5,13599.9,0,77,0,0,0,48.3125,308,640,2000,,,,
